step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-actor/entropy_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-actor/entropy_step
1,0.6850414483130656,0.6862235206297074
2,0.6658667961702398,0.6682291230807701
3,0.6812761905756626,0.6845467408279796
4,0.6655511257433615,0.6628179107957026
5,0.6771436337042939,0.6805558417923748
6,0.6240817535162708,0.6324595410104206
7,0.6259146252352941,0.6242126523958225
8,0.6383554638023414,0.6272367323399521
9,0.6242239795372648,0.6128850284564707
10,0.5724360169200549,0.5681308666244149
11,0.567399242562392,0.5664368930015842
12,0.5682795549432437,0.5554558533225574
13,0.5224554612484228,0.49937005828096703
14,0.5586455964720716,0.5031347145665098
15,0.5394997888555129,0.5167634140345312
16,0.5340898392074134,0.5107270480110878
17,0.5308810611340132,0.4984813125804067
18,0.49197234781458976,0.4830316960027343
19,0.5049677789211273,0.4956771239638329
20,0.4891021971901258,0.46604355080053206
21,0.4955414830205532,0.48145451627083513
22,0.46120044679786915,0.40987754205392823
23,0.48078176874394823,0.44302768475915255
24,0.4803234621098167,0.41788776844946873
25,0.4508575794139975,0.4189992303911009
26,0.45993208544465103,0.41232166836332335
27,0.4660048904340891,0.41686321622692046
28,0.4620848470589235,0.4046726326147715
29,0.45064509340694975,0.39129764744295525
30,0.4465917969743411,0.3886528474892058
31,0.4626752188251842,0.40260774305179
32,0.43017714585931527,0.36739049280105635
33,0.4510181030879418,0.3617940660832184
34,0.4460061164572835,0.3669691390934444
35,0.43170504520336783,0.3417893647482353
36,0.4373396453989106,0.36637310449813687
37,0.40263342028483745,0.35394350882797015
38,0.41517965515193184,0.35582652119429486
39,0.4120459884586858,0.3545262765228039
40,0.38888483764364934,0.33897404205054044
41,0.4074380230612871,0.35988526573268376
42,0.3944693381443273,0.3405631581321359
43,0.3720929608680308,0.32192059481380186
44,0.381645872967229,0.33588203145191076
45,0.3832740101285956,0.3413289146763938
46,0.3705679953280019,0.3383115014992654
47,0.3480632282793522,0.31800064314156773
48,0.35956750824116174,0.32724020052223635
49,0.33111234433017667,0.30514098156425284
50,0.3444444704555759,0.3002024151850492
51,0.31909945889032987,0.29111102529061145
52,0.3199371347497953,0.2748550277292019
53,0.31364659048043764,0.29687775326892735
54,0.3310994662907581,0.29500746833426617
55,0.3220990749030579,0.3025090419909074
56,0.3230260257121353,0.2911711965820619
57,0.30616328561384426,0.2855185496737249
58,0.29510593148214476,0.2799156471358045
59,0.28864424413491396,0.2774314591131935
60,0.3104457121475467,0.2850766627871919
61,0.2995875728316605,0.2778209976597943
62,0.2851306426061972,0.2729406589397082
63,0.2693114837533549,0.2598870945401445
64,0.2841280003776774,0.2602468696422875
65,0.2685698760816684,0.24288926584782397
66,0.25893508772806906,0.22842271567787975
67,0.2638102018107207,0.23845153370099825
68,0.23452197159885577,0.2144584185688903
69,0.24180318652652205,0.217570900474675
70,0.2457924466812983,0.21963166335205497
71,0.25870982990600166,0.22403112542815504
72,0.26415914919499944,0.23864491996355355
73,0.2475996989523992,0.21121504937151545
74,0.23377805943822577,0.21079573816118333
75,0.2374683670876991,0.21231055482731837
76,0.25085442231559174,0.21698003938087285
77,0.2275135799399799,0.19822161580391584
78,0.23464104920137852,0.19853278287266177
79,0.22379437514713832,0.20293834856489584
80,0.2176917837045732,0.19352517114617887
81,0.21810010033334756,0.18667481127860291
82,0.22103532153840472,0.1961451835697517
83,0.21893293549102255,0.1921302506567112
84,0.2072304417134115,0.18209755736170335
85,0.2088895001714783,0.18392515276156535
86,0.1926534509751946,0.17528129839116618
87,0.1970109866000712,0.17891755500542267
88,0.19287871457636355,0.1762971519381695
89,0.19408903012729503,0.16926171980925242
90,0.183826639760463,0.1650364357046783
91,0.19033055805896476,0.16799576635960312
92,0.1843271782529692,0.1663883929580657
93,0.1883864317816205,0.17074263845245508
94,0.19293912819453649,0.17088642051177366
95,0.1734644300901355,0.15569882252852302
96,0.17357281439139374,0.14620361851253125
97,0.18887135297769592,0.16919130228763055
98,0.18554498270774883,0.16324431225213976
99,0.1792076930446042,0.15390195606631182
100,0.17615172897820316,0.1538651347978086
101,0.17386268830991217,0.15510533927116804
102,0.1748727304705729,0.15569254772050217
103,0.1602787697421653,0.14109332945996098
104,0.1764525986598948,0.14730390862969217
105,0.16425297113968745,0.14601336391397604
106,0.16531863812865183,0.13749510421555233
107,0.1636727832321247,0.14357092668346708
108,0.16149394118803598,0.13544177862682513
109,0.15300718564431853,0.12720433732084485
110,0.16210767792515637,0.130942318685508
111,0.15832303590806468,0.13460061262317358
112,0.14971376941181147,0.12579540670962958
113,0.1546764906663664,0.13830190719593138
114,0.15088214870497935,0.13132895164502162
115,0.1445115606766194,0.1331571357284968
116,0.14937779835114878,0.13755918796893885
117,0.13699429631233218,0.12483839021019992
118,0.14493995155321387,0.1292901146566359
119,0.13993546006862412,0.1333545679329998
120,0.1372777908611831,0.12653315361655715
121,0.13748433172059732,0.1286867735169192
122,0.13324097033944865,0.116832188219719
123,0.13280540376546837,0.11939083790497446
124,0.1292469308193011,0.12013341031658152
125,0.12875362930935808,0.12106280181513623
126,0.13397478525127682,0.12091300687329334
127,0.1250679466407746,0.11749040861614048
128,0.12093332633603274,0.11298935504019028
129,0.12363063040122922,0.11726345938985192
130,0.12118076052601363,0.11869591152538884
131,0.12625273841521925,0.11826503011186354
