step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-rollout_corr/rollout_log_ppl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-rollout_corr/rollout_log_ppl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-rollout_corr/rollout_log_ppl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-rollout_corr/rollout_log_ppl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-rollout_corr/rollout_log_ppl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-rollout_corr/rollout_log_ppl_step
1,0.6132136583328247,0.6164374947547913,0.6409391760826111,0.6243078708648682,0.6119626760482788,0.637491762638092
2,0.6348298192024231,0.6312493085861206,0.6449255347251892,0.6327258348464966,0.6372921466827393,0.6497465372085571
3,0.6433408856391907,0.6495414972305298,0.6530798673629761,0.6341267228126526,0.6466739773750305,0.6558123230934143
4,0.6301880478858948,0.607542872428894,0.6368150115013123,0.6309540271759033,0.6174460649490356,0.6409852504730225
5,0.6560538411140442,0.6220496892929077,0.6485175490379333,0.6572121381759644,0.6367608308792114,0.6507168412208557
6,0.6234087944030762,0.6278215050697327,0.6089620590209961,0.6367779970169067,0.643120527267456,0.6180563569068909
7,0.5976195335388184,0.5876866579055786,0.6286907196044922,0.6187769174575806,0.6083283424377441,0.644131064414978
8,0.5917365550994873,0.6100398302078247,0.6163270473480225,0.6288617253303528,0.6407973170280457,0.6379573941230774
9,0.5632933378219604,0.5828670859336853,0.6150903105735779,0.635564923286438,0.6385737657546997,0.6408045291900635
10,0.5474052429199219,0.5858689546585083,0.5820978879928589,0.6484255194664001,0.6602784395217896,0.6195081472396851
11,0.5193608999252319,0.5141958594322205,0.5960354208946228,0.6323955655097961,0.6030527353286743,0.6376408338546753
12,0.5019739866256714,0.5033795833587646,0.5906845331192017,0.6140333414077759,0.5957052111625671,0.6295876502990723
13,0.5067707896232605,0.5030624866485596,0.57474684715271,0.6139969229698181,0.622328519821167,0.5913245677947998
14,0.5091531872749329,0.4703540802001953,0.5731424689292908,0.6234771609306335,0.6021195650100708,0.5826141834259033
15,0.4744226336479187,0.4294702708721161,0.6083985567092896,0.5780762434005737,0.5960801243782043,0.6221466064453125
