step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-rollout_corr/kl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-rollout_corr/kl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-rollout_corr/kl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-rollout_corr/kl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-rollout_corr/kl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-rollout_corr/kl_step
1,0.0004225078446324914,0.0004553887411020696,0.0004335289995651692,0.0004256078973412514,0.0004209448234178126,0.00042664125794544816
2,0.0004385050851851702,0.0004331098753027618,0.00043692515464499593,0.0004607892478816211,0.0004504991811700166,0.0004546284908428788
3,0.0004176747461315245,0.0004348533402662724,0.00044392290874384344,0.0004439727053977549,0.0004609680618159473,0.00043252320028841496
4,0.0004118979850318283,0.0004144784761592746,0.0004298589192330837,0.000430288549978286,0.0004347782232798636,0.00044100842205807567
5,0.0004560334782581776,0.00041028164559975266,0.00044622994028031826,0.0004309973446652293,0.000449075159849599,0.0004353098629508167
6,0.00042330636642873287,0.00043747518793679774,0.0004315045080147683,0.00043643542448990047,0.00042668377864174545,0.0004187437298242002
7,0.0004376513534225523,0.0004240022390149534,0.00043791806092485785,0.0004374367999844253,0.00040211129817180336,0.0004346657369751483
8,0.0004270659410394728,0.00043952310807071626,0.0004494268505368382,0.0004267423355486244,0.0004469933337531984,0.0004514866741374135
9,0.0004034930316265672,0.00044991920003667474,0.00044823161442764103,0.00045189406955614686,0.00044355032150633633,0.0004313188255764544
10,0.000422126438934356,0.0004325209592934698,0.0004238146939314902,0.0004509485152084381,0.0004215665103401989,0.0004303797904867679
11,0.000413898698752746,0.0003940560563933104,0.0004205811710562557,0.00044432361028157175,0.0004402089398354292,0.0004384005442261696
12,0.0003963695780839771,0.0004207727906759828,0.00044328454532660544,0.00043615727918222547,0.0004357327707111835,0.0004366263165138662
13,0.0003950461104977876,0.0004018232284579426,0.0004268941702321172,0.0004257448599673808,0.0004477946495171636,0.0004317557031754404
14,0.0003355350927449763,0.0003778455720748752,0.0004609561001416296,0.0004522693925537169,0.0004439018084667623,0.00042598386062309146
15,0.00040044690831564367,0.0003464746696408838,0.0004178977687843144,0.0004200792755000293,0.00040630041621625423,0.0004472096334211528
16,0.00035083608236163855,0.0003629346319939941,0.0004460095369722694,0.0004187355807516724,0.0004771473759319633,0.0004547051794361323
17,0.0003621139039751142,0.0004115516203455627,0.0004413713177200407,0.0004231856146361679,0.0004475459572859109,0.0004357276775408536
18,0.0003652706800494343,0.000425997277488932,0.00047220540000125766,0.00043492429540492594,0.0004375186399556696,0.000412699329899624
19,0.0003748353919945657,0.0003716552164405584,0.0005167053313925862,0.0004305121547076851,0.00041289348155260086,0.00042887788731604815
20,0.0003687982680276036,0.00040670711314305663,0.0005010406603105366,0.0004240494454279542,0.0004280878056306392,0.0004161322431173176
21,0.0003682553651742637,0.00041653169319033623,0.0004967944696545601,0.0004191167827229947,0.0004420455952640623,0.0004532972816377878
22,0.0003705952549353242,0.00036450932384468615,0.0005106654716655612,0.0004386445507407189,0.0004355593118816614,0.00042671820847317576
23,0.0003195865429006517,0.0003886812482960522,0.0004924646345898509,0.0004358262231107801,0.0004207409801892936,0.0004551343154162169
24,0.00035606775782071054,0.0003960577305406332,0.0005286808009259403,0.00045055660302750766,0.0004319076251704246,0.00043435452971607447
25,0.00037514438736252487,0.000374513358110562,0.000467928359284997,0.0004444776859600097,0.0004299567372072488,0.0004379770252853632
26,0.00034170295111835003,0.0003674873150885105,0.0005101022543385625,0.00043926347279921174,0.0004186925361864269,0.0003844883176498115
27,0.00038255107938311994,0.0003976660082116723,0.0004987037391401827,0.00046010687947273254,0.00044251096551306546,0.00042180134914815426
28,0.0003637562913354486,0.000414104521041736,0.0005240681348368526,0.00041557467193342745,0.0004318678693380207,0.0004042017390020192
29,0.0003636967157945037,0.0004081003717146814,0.0004555377236101776,0.0004199527902528643,0.00046339043183252215,0.0003951386315748095
