step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-rollout_corr/k3_kl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-rollout_corr/k3_kl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-rollout_corr/k3_kl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-rollout_corr/k3_kl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-rollout_corr/k3_kl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-rollout_corr/k3_kl_step
1,0.0004230038030073046,0.00044318928848952055,0.0004329300718382001,0.0004285127797629684,0.0004382591869216412,0.000431335240136832
2,0.000444623117800802,0.0004445691592991352,0.0004440000338945538,0.0004442140634637326,0.00044466331019066274,0.0004489810089580714
3,0.0004309052019380033,0.0004467726103030145,0.0004361954925116152,0.000432776752859354,0.0004412060370668769,0.00043786963215097785
4,0.0004367881629150361,0.0004242696741130203,0.0004469618434086442,0.0004348847724031657,0.00042758905328810215,0.0004482592339627445
5,0.0004480460484046489,0.000429640436777845,0.00044803073978982866,0.0004427404492162168,0.0004361506144050509,0.00044691262883134186
6,0.00043698359513655305,0.0004374060081318021,0.0004351936804596334,0.00043391159852035344,0.0004402155173011124,0.00043924464262090623
7,0.0004387910012155771,0.00042417581425979733,0.0004472851287573576,0.0004396627191454172,0.0004236985696479678,0.0004520003276411444
8,0.00043394931708462536,0.00043930215178988874,0.0004427643143571913,0.00043683030526153743,0.0004419156175572425,0.0004458496405277401
9,0.0004153036279603839,0.0004299840366002172,0.00043921591714024544,0.00043743173591792583,0.0004416326119098812,0.0004397816665004939
10,0.0004162752302363515,0.0004341132007539272,0.0004256593529134989,0.00044258381240069866,0.0004482042568270117,0.00043046908103860915
11,0.00040299384272657335,0.0004008481337223202,0.000425743666710332,0.0004391926631797105,0.00042482957360334694,0.00043462071334943175
12,0.0003905943594872951,0.0004089800640940666,0.00042988400673493743,0.0004363465995993465,0.0004322672029957175,0.0004390267713461071
13,0.0003873539681080729,0.0003990890400018543,0.0004246591997798532,0.00043464379268698394,0.0004450303968042135,0.0004277572152204811
14,0.0003879984724335373,0.00038860447239130735,0.0004328264913056046,0.0004413077258504927,0.0004344450426287949,0.0004296574916224926
15,0.0003813529619947076,0.0003611468127928674,0.0004555739869829267,0.00042735994793474674,0.00042193836998194456,0.00043944624485448
16,0.0003753505588974804,0.0003751627227757126,0.0004821975890081376,0.00042431295150890946,0.00043712163460440934,0.000446213613031432
17,0.0003587326209526509,0.0003744249988812953,0.0004714748938567936,0.0004283258167561144,0.00043854431714862585,0.0004337845020927489
18,0.00037312289350666106,0.0003789500624407083,0.00046707247383892536,0.0004289911303203553,0.00043347044265829027,0.00042793137254193425
19,0.0003630355058703571,0.0003741351829376072,0.0004776714486069978,0.0004186487349215895,0.00042780107469297945,0.000424202618887648
