step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-rollout_corr/log_ppl_diff_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-rollout_corr/log_ppl_diff_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-rollout_corr/log_ppl_diff_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-rollout_corr/log_ppl_diff_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-rollout_corr/log_ppl_diff_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-rollout_corr/log_ppl_diff_step
1,0.000423968187533319,0.000432840286521241,0.0004171928158029914,0.0004118212091270834,0.0003911633975803852,0.00039041106356307864
2,0.0004204309661872685,0.00042337062768638134,0.000420221098465845,0.00043284104322083294,0.0004330540250521153,0.0004465219681151211
3,0.0003946182841900736,0.00042689155088737607,0.00041944204713217914,0.0004337215214036405,0.000455450703157112,0.0004224813310429454
4,0.0003901643503922969,0.0003995451843366027,0.0004209520702715963,0.00041056066402234137,0.0004165541322436184,0.0004334828408900648
5,0.0004367675865069032,0.00041030996362678707,0.0004294101090636104,0.0004109673318453133,0.0004493582819122821,0.0004189555183984339
6,0.0004120378289371729,0.0004338709113653749,0.0004237911489326507,0.0004287242772988975,0.0003988867101725191,0.00040494295535609126
7,0.0004206580051686615,0.00041554306517355144,0.0004302780143916607,0.0004181213735137135,0.00037784743472002447,0.0004200969124212861
8,0.0004116406198590994,0.00042870925972238183,0.0004386266809888184,0.000426597980549559,0.00043273193296045065,0.00043345833546482027
9,0.0003839803393930197,0.0004295566468499601,0.0004389528767205775,0.00043824920430779457,0.0004344168992247433,0.0004192219639662653
10,0.0003923352924175561,0.00043480630847625434,0.00041162152774631977,0.00043905648635700345,0.00040751128108240664,0.0004078096535522491
11,0.0003890685620717704,0.0003898245049640536,0.0004275861429050565,0.00043692809413187206,0.00043656499474309385,0.0004286326584406197
12,0.00042231573024764657,0.0003903456381522119,0.0004236942622810602,0.0004337758873589337,0.00041308937943540514,0.00042899444815702736
13,0.00039186549838632345,0.0004016997409053147,0.0004145450657233596,0.0004098680801689625,0.00042090562055818737,0.00041688670171424747
14,0.00035550346365198493,0.0004028856055811048,0.00043021130841225386,0.0004322588793002069,0.0004353173426352442,0.00040438672294840217
15,0.00039361495873890817,0.000370927678886801,0.0004087849229108542,0.00041428819531574845,0.00040708499727770686,0.0004341174499131739
16,0.0003644847311079502,0.00036051232018508017,0.0004320461302995682,0.0003996165469288826,0.00047126237768679857,0.00044407282257452607
17,0.0003774437354877591,0.0003917236172128469,0.0004311970842536539,0.0003949905221816152,0.0004180048708803952,0.00043508195085451007
18,0.0003818211844190955,0.00041461631190031767,0.0004580365202855319,0.0004384477215353399,0.00043240012018941343,0.0004003321519121528
19,0.0003744174027815461,0.00037026312202215195,0.0004906610120087862,0.00041798449819907546,0.00038011313881725073,0.000407294777687639
20,0.0003727206203620881,0.00041761918691918254,0.0004912301665171981,0.0004092035233043134,0.0004293294914532453,0.000384668936021626
21,0.0003582784556783736,0.0004200044204480946,0.000483507668832317,0.0003799324913416058,0.0004416939336806536,0.0004300292348489166
22,0.0003647195990197361,0.0003562952042557299,0.0005028072628192604,0.0004022284992970526,0.0004144847334828228,0.0004263428272679448
23,0.00031503051286563277,0.0003822880098596215,0.00048418910591863096,0.00041652534855529666,0.00042540777940303087,0.0004817177541553974
24,0.00035087839933112264,0.00040833605453372,0.0005164543399587274,0.00045388168655335903,0.0004520363290794194,0.0004461569478735328
25,0.00039041449781507254,0.0003714753838721663,0.0004759888397529721,0.000426418031565845,0.0004100907244719565,0.0004313284589443356
26,0.0003445302718318999,0.0003790779446717352,0.0005045802099630237,0.00041977723594754934,0.00039519520942121744,0.00035410450072959065
27,0.0004214187792968005,0.0004065055982209742,0.0004734221438411623,0.0004352854157332331,0.00043689936865121126,0.0004135184572078288
28,0.0003564629587344825,0.00039146305061876774,0.0005014810594730079,0.0004157228395342827,0.0004346573259681463,0.0004087729612365365
29,0.0003639849892351776,0.0004020585038233549,0.0004422437632456422,0.0004036414320580662,0.00047440925845876336,0.00036816493957303464
30,0.0003473679826129228,0.00036176686990074813,0.00048372356104664505,0.00042503158329054713,0.00039741871296428144,0.0004120309022255242
31,0.00031580965151079,0.00036370742600411177,0.0004957881174050272,0.0004187229787930846,0.00038390999543480575,0.0003909739316441118
32,0.00032412135624326766,0.00035671156365424395,0.00047210301272571087,0.0003743300912901759,0.0004409982939250767,0.0003740446118172258
33,0.00033145889756269753,0.0003739292733371258,0.0005089708138257265,0.0004307950148358941,0.00037770389462821186,0.0003977661835961044
34,0.0003402483998797834,0.00038581574335694313,0.0004905490204691887,0.0003937219735234976,0.0003761356638278812,0.0003969196113757789
35,0.00034171168226748705,0.0003416583058424294,0.0005102372961118817,0.0003788848989643157,0.0004310233052819967,0.00037397301639430225
36,0.0003532177652232349,0.0003884401230607182,0.0005011396715417504,0.0004165461577940732,0.00042532378574833274,0.000415908289141953
37,0.0003373854560777545,0.0003517885925248265,0.0005156792467460036,0.00040927057852968574,0.00039359237416647375,0.00034241017419844866
38,0.00034886400680989027,0.00036867131711915135,0.0004943397361785173,0.0004145904385950416,0.000416330381995067,0.0003820518613792956
39,0.00032702533644624054,0.00040577244362793863,0.0005452976911328733,0.00042282999493181705,0.0004197794769424945,0.0003760831896215677
40,0.00034551494172774255,0.000357231852831319,0.0004782789619639516,0.00039872335037216544,0.0003673069295473397,0.000370673747966066
41,0.00032736745197325945,0.0003730366006493568,0.0005149581702426076,0.0003979816683568061,0.0003775999357458204,0.0004001226043328643
42,0.00036661652848124504,0.00036900327540934086,0.0005172250675968826,0.0004517693305388093,0.0004069280112162232,0.00040754140354692936
43,0.00034966180101037025,0.0003762652922887355,0.0005232628318481147,0.0003655237960629165,0.0003815842501353473,0.00036927632754668593
44,0.0003186118556186557,0.0003693928592838347,0.0004991069436073303,0.0003738417290151119,0.0003804622101597488,0.00035579060204327106
45,0.00033240526681765914,0.00031977827893570065,0.0005359835340641439,0.0004302039742469787,0.000373256450984627,0.0003977959568146616
46,0.00032006559194996953,0.0003606696845963598,0.00046379968989640474,0.0003925944911316037,0.0003966268850490451,0.00038377076270990074
