step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-rollout_corr/log_ppl_abs_diff_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-rollout_corr/log_ppl_abs_diff_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-rollout_corr/log_ppl_abs_diff_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-rollout_corr/log_ppl_abs_diff_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-rollout_corr/log_ppl_abs_diff_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-rollout_corr/log_ppl_abs_diff_step
1,0.0004936860641464591,0.0005171872908249497,0.000485990836750716,0.0005146274343132973,0.0004864012589678168,0.0004857638850808144
2,0.0005013367044739425,0.0005037239752709866,0.0004908491391688585,0.0005181329324841499,0.0005015499191358685,0.0005091738421469927
3,0.0004790698585566133,0.0005046742735430598,0.0004947063862346113,0.0005042282282374799,0.000531678379047662,0.0004918416379950941
4,0.0004760595038533211,0.0004949431167915463,0.0004904798697680235,0.0004828219825867563,0.0005006926949135959,0.0005123668815940619
5,0.000505575502756983,0.00048617934226058424,0.0005116715328767896,0.0004868210526183248,0.0005120449932292104,0.0004996536881662905
6,0.0005105326999910176,0.0005139783024787903,0.0004975427873432636,0.0005035752546973526,0.0005002396646887064,0.0004888884141109884
7,0.0005166712217032909,0.0005046365549787879,0.0005148787749931216,0.0005030594766139984,0.00046301455586217344,0.0004840269684791565
8,0.0005243442137725651,0.0005181515007279813,0.0005418287473730743,0.0004946560366079211,0.0005018284427933395,0.0005097576649859548
9,0.0005100458511151373,0.0005543447332456708,0.000568175339139998,0.0005164040485396981,0.0005102056311443448,0.0005035826470702887
10,0.0005832419265061617,0.0005844124825671315,0.0005595252150669694,0.0005053536733612418,0.000498564331792295,0.0004934789030812681
11,0.0006276516360230744,0.0005769788986071944,0.0005699056200683117,0.000520088360644877,0.0005128803895786405,0.0004971993039362133
12,0.0006452030502259731,0.000658539414871484,0.0006000580033287406,0.0005153500242158771,0.0005105454474687576,0.0005058494862169027
13,0.0006996982847340405,0.0006945091299712658,0.0006679712096229196,0.0004913624143227935,0.0005127248587086797,0.0005000961828045547
14,0.000717242481186986,0.0007203790592029691,0.0007537265191785991,0.0005189929506741464,0.000525378854945302,0.0004954190808348358
15,0.0007427142700180411,0.0006658572237938643,0.0007366046775132418,0.0005129277124069631,0.0004939513164572418,0.0005225621280260384
16,0.0007351415697485209,0.0006678140489384532,0.0007941483054310083,0.0005127413896843791,0.000556320883333683,0.000540690147317946
17,0.0007112730527296662,0.0007068943814374506,0.0007790824165567756,0.0005166208720766008,0.000537864922080189,0.0005403769318945706
18,0.0007206153823062778,0.0006991572445258498,0.0007680082926526666,0.0005270912079140544,0.0005290460539981723,0.0005119610577821732
19,0.0006750633474439383,0.0006556694279424846,0.000782603514380753,0.0005472556804306805,0.0005036296788603067,0.000519098830409348
20,0.0006737709045410156,0.0006439657881855965,0.0007600026438012719,0.0005484235007315874,0.0005329602863639593,0.0005451332544907928
21,0.0006852582446299493,0.0006370999617502093,0.0007561742095276713,0.0005581576842814684,0.0005804524989798665,0.00056787533685565
22,0.0006452437955886126,0.0006159465410746634,0.0007576338248327374,0.0005424495902843773,0.0005535531090572476,0.0005529004847630858
23,0.0006259553483687341,0.0006280645611695945,0.00074186478741467,0.0005730275297537446,0.0005562761798501015,0.0005946492310613394
24,0.0006465301266871393,0.0006280215457081795,0.0007618851377628744,0.0005860856035724282,0.0005894471541978419,0.0005837702774442732
25,0.0006863811868242919,0.0006229049758985639,0.0006967105437070131,0.0005813568131998181,0.0005871678004041314,0.0006048468640074134
26,0.0006299722590483725,0.0006045924383215606,0.000726340978872031,0.0005871852044947445,0.0006052047829143703,0.0005643822951242328
27,0.0006903951289132237,0.0006592532154172659,0.0007214103825390339,0.0006197215989232063,0.0006284518167376518,0.00056760961888358
28,0.0006332345074042678,0.0006130934925749898,0.0007344572804868221,0.0006174265872687101,0.0005854590563103557,0.0005764884990639985
29,0.0006909146904945374,0.000645281164906919,0.0006971918628551066,0.0006099840393289924,0.000656525488011539,0.0006075167329981923
30,0.000639545323792845,0.0006057834252715111,0.000717386428732425,0.0006465241895057261,0.0006235282635316253,0.0006105525535531342
31,0.0005951934144832194,0.000579552142880857,0.0007198700332082808,0.0006014342652633786,0.0006329476600512862,0.0006250609294511378
32,0.0006059468723833561,0.0006098008016124368,0.0007078900816850364,0.0006208515842445195,0.000663961167447269,0.0006224298849701881
33,0.0005830331356264651,0.0006030307849869132,0.0006918497383594513,0.0006455889670178294,0.0006305940914899111,0.0006225393153727055
34,0.0006019345601089299,0.0006323568522930145,0.0007082551019266248,0.0006188356783241034,0.000653499155305326,0.0006160442135296762
35,0.0005987530457787216,0.0005895464564673603,0.0006909756339155138,0.0006665604887530208,0.0006384503212757409,0.0006021928857080638
36,0.0006188979023136199,0.0006265930132940412,0.0006892575183883309,0.0006506582722067833,0.0006870079087093472,0.0006220313953235745
37,0.0006027012714184821,0.0006032143719494343,0.0007006737869232893,0.0006630963180214167,0.0006329993484541774,0.0006163662765175104
38,0.000584591063670814,0.0006215674220584333,0.0007123388350009918,0.0006574640283361077,0.00069093843922019,0.0006722325342707336
39,0.0006176625029183924,0.0006412146613001823,0.000730576110072434,0.0006769053870812058,0.0007005210500210524,0.0006186925456859171
40,0.000640394224319607,0.0006246732082217932,0.0006896567065268755,0.0006615468882955611,0.0006622807122766972,0.0006260721129365265
41,0.0006039930740371346,0.0006034944672137499,0.0007039683405309916,0.0006594671867787838,0.000613709504250437,0.0006602346547879279
42,0.0005864710547029972,0.0006212329608388245,0.0006925243651494384,0.0006951406830921769,0.0006400870042853057,0.000649171881377697
43,0.0006262121023610234,0.0006227117264643312,0.0006892948877066374,0.0006594008300453424,0.0006388627225533128,0.0005771124851889908
44,0.0005646371282637119,0.0005884826532565057,0.000707205617800355,0.0006467624916695058,0.0006184193189255893,0.0006205161334946752
45,0.0005551771027967334,0.0005888456362299621,0.0007256005192175508,0.0006839803536422551,0.0006252701277844608,0.000636327313259244
46,0.0005732981953769922,0.0005844811093993485,0.0006812885403633118,0.0006473258254118264,0.0006313626654446125,0.0006455971742980182
47,0.0005434158956632018,0.0006262034876272082,0.000714318361133337,0.0006532447296194732,0.0006661242805421352,0.0006271294550970197
48,0.0005824589170515537,0.0006458801217377186,0.0007338610012084246,0.0006821644492447376,0.0006573860882781446,0.0006527148652821779
49,0.0006079887971282005,0.0006042895838618279,0.0007200605468824506,0.0006624453817494214,0.000614215328823775,0.00065061409259215
