step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-rollout_corr/rollout_probs_diff_p99_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-rollout_corr/rollout_probs_diff_p99_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-rollout_corr/rollout_probs_diff_p99_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-rollout_corr/rollout_probs_diff_p99_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-rollout_corr/rollout_probs_diff_p99_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-rollout_corr/rollout_probs_diff_p99_step
1,0.03082351386547089,0.030872240662574768,0.030816227197647095,0.030815258622169495,0.03087487816810608,0.03082418441772461
2,0.03086954355239868,0.030880212783813477,0.030865609645843502,0.03088212013244629,0.03086841106414795,0.030862361192703247
3,0.03082683682441711,0.030874058604240417,0.030850976705551147,0.03081691265106201,0.03085792064666748,0.030842602252960205
4,0.030863523483276367,0.030824437737464905,0.030892938375473022,0.0308540016412735,0.03083479404449463,0.03088533878326416
5,0.030864477157592773,0.030855759978294373,0.030865728855133057,0.030842125415802,0.030852198600769043,0.030849263072013855
6,0.030862584710121155,0.030864432454109192,0.03087666630744934,0.030818045139312744,0.03084626793861389,0.030865013599395752
7,0.030903011560440063,0.030880779027938843,0.03092116117477417,0.030868887901306152,0.03084811568260193,0.0309106707572937
8,0.030899271368980408,0.030907928943634033,0.030894309282302856,0.030870452523231503,0.030877411365509033,0.03087399899959564
9,0.030886411666870117,0.030911952257156372,0.03087514638900757,0.030837833881378177,0.030873462557792664,0.030856043100357056
10,0.03091380000114441,0.030910015106201172,0.03083193302154541,0.030876576900482178,0.030874550342559814,0.030861258506774902
11,0.030926048755645752,0.030887164175510406,0.03086957335472107,0.03087848424911499,0.030855655670166016,0.03085055947303772
12,0.030892863869667053,0.030943632125854492,0.030865520238876343,0.03090745210647583,0.03088456392288208,0.03087007999420166
13,0.03088381141424179,0.03095906972885132,0.030881941318511963,0.03085225820541382,0.03089284896850586,0.030856549739837646
14,0.03090834617614746,0.03095635026693344,0.030897416174411777,0.030896008014678955,0.030871212482452393,0.03088241815567017
15,0.030903376638889313,0.030952632427215576,0.030904054641723633,0.030910134315490723,0.030842870473861694,0.0308762788772583
16,0.030866041779518127,0.030966341495513916,0.030926477164030075,0.030917450785636905,0.03087860345840454,0.03093986213207245
17,0.03082615882158279,0.030968129634857178,0.0308903306722641,0.03090706467628479,0.030923843383789062,0.030916810035705566
18,0.03087383508682251,0.0309862457215786,0.030873656272888184,0.030942529439926147,0.030912131071090695,0.030900180339813232
19,0.030829690396785736,0.03101162612438202,0.03088824450969696,0.03092297911643982,0.030895739793777462,0.030879363417625427
20,0.03088824450969696,0.030995473265647888,0.030841410160064697,0.03094935417175293,0.030866950750350952,0.030919373035430908
21,0.03082600235939026,0.03097067773342133,0.03083130717277527,0.030923992395401,0.030886352062225345,0.030913859605789185
22,0.030739709734916687,0.031007468700408936,0.030784815549850464,0.030891284346580505,0.030876249074935913,0.030928343534469604
23,0.03084394708275795,0.031023621559143063,0.03080517053604126,0.030949175357818604,0.030840545892715458,0.03095531463623047
24,0.03081628307700157,0.031049009412527084,0.030790135264396667,0.030925005674362183,0.03088328242301941,0.030956491827964783
25,0.03087097406387329,0.0310632586479187,0.03075314313173294,0.03091335296630859,0.030872322618961338,0.030950389802455906
26,0.0307997465133667,0.031049564480781555,0.030794136226177216,0.03095322847366333,0.03087061643600464,0.030960053205490112
27,0.030819490551948547,0.031104356050491333,0.030777931213378903,0.030911952257156372,0.03087574243545532,0.030930794775485992
28,0.030799925327301025,0.03105337917804718,0.030765023082494736,0.03092479705810547,0.030875086784362793,0.03095468133687973
29,0.030868984758853912,0.031090103089809418,0.030762627720832825,0.03093841671943665,0.03088521957397461,0.03095528483390808
30,0.030741244554519653,0.031087398529052734,0.03073621541261673,0.030935242772102356,0.03087294101715088,0.03094794601202011
31,0.030762046575546265,0.03113722801208496,0.03074546903371811,0.03092993050813675,0.03089454770088196,0.030961401760578156
32,0.030758559703826904,0.03115183115005493,0.030727028846740723,0.03094583749771118,0.030877619981765747,0.030933886766433716
33,0.030810225754976273,0.03111720085144043,0.030714750289916992,0.030935928225517273,0.030902378261089325,0.030949965119361877
34,0.030729416757822037,0.031113117933273315,0.03076910972595215,0.030933700501918793,0.03087829053401947,0.030957818031311035
35,0.03084522485733032,0.031130865216255188,0.03074360638856888,0.03095626085996628,0.030909180641174316,0.030953697860240936
36,0.03081078827381134,0.03115251660346985,0.03073946386575699,0.030966609716415405,0.030899301171302795,0.03095918893814087
37,0.030828207731246948,0.03113849461078644,0.03073662519454956,0.030966490507125854,0.030915409326553345,0.030958235263824463
38,0.03076644241809845,0.031126022338867188,0.030740641057491302,0.030959486961364743,0.03091567754745483,0.030966877937316895
39,0.030830930918455124,0.031175673007965088,0.03078855574131012,0.030966877937316895,0.030942216515541077,0.030970335006713867
40,0.030807726085186005,0.03118623793125153,0.03071396052837372,0.03096872568130493,0.030922818928956985,0.03097251802682877
41,0.03077448531985283,0.031167715787887573,0.03075265884399414,0.03096643090248108,0.03092518448829651,0.030980423092842106
42,0.03075035661458969,0.03119245544075966,0.030761532485485077,0.03096562623977661,0.03094774484634399,0.030993834137916565
43,0.030736371874809265,0.03120092675089836,0.030723020434379578,0.03096961975097656,0.0309315025806427,0.030967354774475098
44,0.0306972935795784,0.031186848878860474,0.030725274235010147,0.030957579612731937,0.03091639280319214,0.0309884250164032
45,0.030802711844444275,0.0311850905418396,0.03075569868087769,0.031024575233459473,0.030947186052799225,0.03102065622806549
46,0.030751526355743408,0.031207814812660217,0.03074808418750763,0.030967116355895996,0.0309070348739624,0.03099115565419197
47,0.03076690435409546,0.031206637620925903,0.03070612251758575,0.030983377248048782,0.030955247581005096,0.03099433332681656
48,0.0307009220123291,0.031205832958221436,0.03074830025434494,0.031012531369924545,0.030956197530031204,0.031026214361190796
49,0.030806303024291992,0.03120976686477661,0.0307261124253273,0.030989989638328552,0.03094384074211121,0.031005799770355225
50,0.030799761414527893,0.03122308850288391,0.030756264925003052,0.031007535755634308,0.030966997146606445,0.031019747257232663
51,0.030757427215576172,0.031209051609039307,0.030704021453857425,0.030995666980743408,0.03092542290687561,0.03100070357322693
52,0.030804872512817383,0.031209707260131836,0.030745021998882297,0.031042024493217468,0.0309450626373291,0.030996501445770264
53,0.03079959750175476,0.03122246265411377,0.030741170048713684,0.031006623059511185,0.03096020221710205,0.03107088059186935
54,0.03079763799905777,0.03122645616531372,0.03073160350322723,0.031028177589178085,0.030967146158218384,0.031058013439178467
55,0.03088816255331039,0.03120976686477661,0.030765816569328308,0.031067244708538055,0.030932188034057617,0.03105691075325012
56,0.03085588663816452,0.031209290027618408,0.030725866556167603,0.031078360974788662,0.030945688486099243,0.03108537197113037
57,0.03078824281692505,0.031216979026794434,0.030705749988555908,0.03106755018234253,0.030936598777770996,0.03105352818965912
58,0.03085997700691223,0.031225040555000305,0.030734539031982425,0.031105145812034607,0.030963242053985596,0.03103871643543243
59,0.03084680438041687,0.03121243417263031,0.030728206038475037,0.031109750270843502,0.030959010124206543,0.031067371368408203
60,0.030855894088745117,0.03122168779373169,0.030766218900680545,0.031047873198986053,0.0309583842754364,0.031124591827392575
61,0.03085390478372574,0.031210780143737793,0.030737854540348053,0.031085848808288578,0.03093764930963516,0.03112393617630005
62,0.030890226364135746,0.03122832626104355,0.03077179193496704,0.031096607446670532,0.030964374542236328,0.031078338623046875
63,0.03086484968662262,0.03126847743988037,0.030702218413352966,0.031026631593704224,0.03096669912338257,0.031069055199623108
64,0.030873045325279236,0.031217113137245175,0.030754372477531433,0.031091764569282532,0.03095080703496933,0.031119704246520996
65,0.030871957540512085,0.03121323138475418,0.03069514036178589,0.03111201524734497,0.030957818031311035,0.03109259158372879
66,0.030869387090206143,0.03120952844619751,0.030754387378692627,0.031100809574127197,0.030960917472839355,0.031083643436431885
67,0.03091791272163391,0.031229808926582336,0.030729711055755615,0.03109973669052124,0.03095259517431259,0.03111030161380768
68,0.030872881412506104,0.03120875358581543,0.030685782432556152,0.03108077496290207,0.03095155954360962,0.031079232692718502
69,0.030873924493789673,0.031211405992507935,0.030684351921081543,0.031114406883716583,0.03096448630094528,0.031074397265911102
70,0.030921101570129395,0.03120911121368408,0.030697345733642575,0.03110489249229431,0.030939072370529175,0.031063377857208252
71,0.03092726320028305,0.031209468841552734,0.03074924647808075,0.031103864312171936,0.0309428870677948,0.03111445903778076
72,0.03091639280319214,0.03122657537460327,0.03073856234550476,0.03109520673751831,0.030965149402618408,0.031089723110198975
73,0.03093104064464569,0.031209439039230347,0.030716508626937863,0.031135499477386475,0.030949801206588745,0.031083226203918457
74,0.030918940901756287,0.031211137771606445,0.03069737553596497,0.031131766736507416,0.030959270894527435,0.031085610389709473
75,0.030882149934768677,0.03129378706216812,0.03070321679115295,0.031075961887836456,0.030954375863075256,0.031065069139003754
76,0.030913978815078735,0.03121177852153778,0.030748307704925537,0.031122028827667236,0.03092055767774582,0.03109729290008545
77,0.030906319618225098,0.03121042251586914,0.03068576753139496,0.03113609552383423,0.030959196388721463,0.03108161687850952
78,0.030923008918762207,0.031224332749843597,0.030720487236976624,0.03114473819732666,0.030957698822021484,0.03106793761253357
79,0.03094286471605301,0.031214885413646695,0.030703775584697723,0.031138792634010315,0.030960381031036377,0.031090356409549713
80,0.030929267406463623,0.031211018562316895,0.030708491802215576,0.03115677833557129,0.03094145655632019,0.03106224536895752
81,0.030943632125854492,0.031213432550430294,0.03069332242012024,0.0311698317527771,0.030955113470554352,0.031047113239765167
82,0.030942991375923157,0.03122040629386902,0.030695214867591854,0.031158551573753357,0.03095388412475586,0.031102344393730164
83,0.030948221683502197,0.031232528388500217,0.030722692608833313,0.031172871589660645,0.03096628189086914,0.031075842678546906
84,0.030965030193328857,0.031212083995342255,0.03069925308227539,0.03118477761745453,0.03094792366027832,0.03108973801136017
85,0.030964314937591553,0.03127777576446533,0.030719518661499023,0.031185179948806763,0.030966639518737793,0.031087875366210938
86,0.030965805053710938,0.03121054172515869,0.030726544559001923,0.031202316284179688,0.030943885445594788,0.031080052256584167
87,0.03095383197069168,0.031216666102409363,0.030680127441883087,0.03117571771144867,0.03093290328979492,0.031081467866897583
88,0.03095763921737671,0.03122001886367798,0.030683308839797977,0.031176254153251648,0.030962824821472168,0.031101271510124207
89,0.0309392511844635,0.03123140335083008,0.030661553144454956,0.031170226633548737,0.030965447425842285,0.031083106994628903
90,0.030963987112045288,0.031224004924297333,0.030695974826812744,0.031191527843475345,0.03096640110015869,0.03111700713634491
91,0.030955515801906586,0.03131096810102463,0.03067386150360107,0.03120526671409607,0.030960798263549805,0.031123384833335876
92,0.0309530571103096,0.03128262609243393,0.030662044882774353,0.031204789876937863,0.03096109628677368,0.031111031770706177
93,0.03096228837966919,0.031246036291122437,0.030687108635902405,0.03120860457420349,0.030963927507400513,0.03114551305770874
94,0.030965864658355713,0.03137105703353882,0.03067988157272339,0.03120899200439453,0.030966341495513916,0.031147852540016174
95,0.030935578048229218,0.03133189678192139,0.030667513608932495,0.03120899200439453,0.030963853001594543,0.031167209148406982
96,0.030944332480430603,0.03124469518661499,0.030652761459350582,0.03120797872543335,0.030967548489570618,0.031140565872192383
97,0.030961856245994568,0.03129515051841736,0.030685067176818848,0.031219780445098877,0.030963599681854248,0.031158089637756348
98,0.03096109628677368,0.031271129846572876,0.030669063329696655,0.03121703863143921,0.030965447425842285,0.03118801116943359
99,0.0309317484498024,0.031234659254550937,0.030679844319820404,0.03122618794441223,0.030949220061302185,0.031171739101409912
100,0.030917078256607056,0.03125433623790741,0.03064689040184021,0.03135041147470474,0.03096720576286316,0.031150609254837036
101,0.03092736005783081,0.03122103214263916,0.03068530559539795,0.03125257045030594,0.030966967344284058,0.03117525577545166
102,0.030933797359466553,0.03123052418231964,0.030723780393600464,0.0313226580619812,0.030967652797698975,0.03118869662284851
103,0.030928142368793488,0.03124368190765381,0.0306934118270874,0.03149263560771942,0.03096872568130493,0.03116142749786377
104,0.030912958085536957,0.03123437613248825,0.030685126781463623,0.03160841763019562,0.030993521213531498,0.03118051588535309
105,0.03092387318611145,0.031222939491271973,0.030676066875457764,0.03145420551300049,0.030979648232460025,0.03116537630558014
106,0.03092437982559204,0.03120976686477661,0.030653581023216248,0.03154502436518669,0.030966639518737793,0.031185388565063477
107,0.030897952616214752,0.031221911311149597,0.03065742552280426,0.03157797455787659,0.031016990542411804,0.031170696020126343
108,0.03091055154800415,0.03126230835914612,0.030647538602352142,0.03146449476480484,0.031023941934108738,0.03113715350627899
109,0.03089544177055359,0.03122085332870483,0.03064538538455963,0.031612515449523926,0.030977819114923477,0.03117196261882782
110,0.03088974952697754,0.031240008771419525,0.03062424063682556,0.031541503965854645,0.031021520495414737,0.031174659729003903
111,0.03089141845703125,0.031430959701538086,0.03069990873336792,0.031551241874694824,0.031016260385513306,0.03117111325263977
112,0.0308910608291626,0.03136292099952698,0.030682995915412903,0.03174683451652527,0.030981630086898804,0.03115486353635788
113,0.030870720744132996,0.03139740228652954,0.03066074848175049,0.03168743848800659,0.030991986393928528,0.03117988258600235
114,0.0308770015835762,0.031401753425598145,0.030666358768939972,0.03143364191055298,0.03105747699737549,0.031152784824371334
115,0.030865654349327087,0.03162655234336853,0.030611805617809296,0.03156374394893646,0.03105062246322632,0.031161457300186157
116,0.03090239316225052,0.03151572495698929,0.030669808387756348,0.03158411383628845,0.031087279319763184,0.03113698959350586
117,0.030865877866744995,0.031544722616672516,0.03063759207725525,0.03157997131347656,0.031071126461029053,0.03118276596069336
118,0.0308799147605896,0.03172503411769867,0.03063410520553589,0.031633757054805756,0.031086087226867676,0.031158708035945892
119,0.030861586332321167,0.03191462159156799,0.030621886253356937,0.03156988322734833,0.031098246574401855,0.03115290403366089
120,0.03086085617542267,0.03194583207368851,0.03062194585800171,0.031575724482536316,0.03114241361618042,0.03117583692073822
121,0.030897624790668488,0.031788960099220276,0.03066404163837433,0.03154827654361725,0.03113172948360443,0.031179554760456085
122,0.03087690472602844,0.031716614961624146,0.030634284019470215,0.031650006771087646,0.031124785542488095,0.031187161803245544
123,0.03087420016527176,0.03209567815065384,0.030631951987743378,0.03160208463668823,0.03114059567451477,0.031194373965263367
124,0.0309026837348938,0.03210076689720154,0.030651964247226715,0.03159478306770325,0.031113483011722565,0.03117576241493225
125,0.030873723328113556,0.031873561441898346,0.03067237138748169,0.03163260221481323,0.031120188534259796,0.031203344464302063
126,0.03089366853237152,0.03249223530292511,0.03063315153121948,0.03155326843261719,0.031111538410186768,0.03119891881942749
127,0.030881673097610474,0.03239476680755615,0.03068118542432785,0.031825125217437744,0.031134694814682007,0.031186982989311215
128,0.03086245059967041,0.03281322866678238,0.030674174427986145,0.0318918377161026,0.03113079071044922,0.031208455562591553
129,0.030896365642547607,0.033178478479385376,0.030680596828460693,0.03168746829032898,0.031153254210948944,0.031208932399749756
130,0.030875682830810547,0.03327854722738266,0.030654847621917725,0.03198876976966858,0.03115219622850418,0.031203091144561768
131,0.03085487335920334,0.03349977731704712,0.03064495325088501,0.03177585452795029,0.031148970127105713,0.03120875358581543
132,0.030896008014678955,0.03350074589252472,0.030674278736114505,0.031921982765197754,0.031150199472904205,0.03121018409729004
133,0.030916139483451843,0.033795930445194244,0.030659466981887817,0.031940922141075134,0.03116127848625183,0.031208693981170654
134,0.030931055545806885,0.034277237951755524,0.030638352036476135,0.03209993988275528,0.031167447566986084,0.031208515167236328
135,0.030914373695850372,0.034298159182071686,0.03063946962356567,0.03244481235742569,0.0311393141746521,0.031209930777549744
136,0.030878223478794094,0.03447917103767395,0.030700303614139557,0.032238952815532684,0.031193450093269348,0.03121286630630493
137,0.030880339443683624,0.034379005432128906,0.030625492334365845,0.03220608830451965,0.031161576509475708,0.031197525560855865
138,0.03091740608215332,0.03437840938568115,0.030629873275756836,0.032652758061885834,0.03117159754037857,0.031212642788887024
139,0.030919760465621948,0.03439413011074066,0.030683815479278564,0.03265143930912018,0.031164586544036865,0.0312093049287796
140,0.03094342350959778,0.034387290477752686,0.03066486120223999,0.03275781869888306,0.03119775652885437,0.031209826469421387
141,0.030941694974899292,0.034805893898010254,0.030629128217697144,0.03291662037372589,0.031178340315818787,0.031209707260131836
142,0.03093475103378296,0.03519196808338165,0.030636988580226895,0.033030420541763306,0.031179070472717285,0.03121240437030792
143,0.03095802664756775,0.0350094810128212,0.03064747154712677,0.0329771414399147,0.03116311132907867,0.031209468841552734
144,0.03096577525138855,0.034619808197021484,0.03071850538253784,0.033576369285583496,0.03114326298236847,0.03126867115497589
145,0.030963987112045288,0.03457742929458618,0.030664198100566864,0.033303529024124146,0.031137868762016296,0.03124755620956421
146,0.030965201556682587,0.034508079290390015,0.03062973916530609,0.03374987840652466,0.03112189471721649,0.031215891242027283
147,0.03096824884414673,0.034722670912742615,0.03070610761642456,0.03339161351323128,0.031127162277698517,0.0312127023935318
148,0.030962228775024418,0.03487738221883774,0.0306769460439682,0.03357499837875366,0.031080152839422222,0.031226933002471924
149,0.030963242053985596,0.03443911671638489,0.030620135366916656,0.03270909935235977,0.03110236674547195,0.03122114390134811
150,0.030972272157669067,0.034842073917388916,0.030674263834953308,0.03374011814594269,0.031075917184352875,0.031236261129379272
151,0.030984602868556976,0.03503197431564331,0.030690431594848633,0.033642470836639404,0.03102979063987732,0.03128409385681152
