step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/ppo_kl_mean_step
1,0.0004479640629142523,0.0004451404674910009,0.00043339599505998194
2,0.0004383988853078335,0.00044411804992705584,0.00043004960753023624
3,0.0004274348320905119,0.0004409441608004272,0.0004338301951065659
4,0.00046430478687398136,0.0004510967119131237,0.0004371634277049452
5,0.00042986206244677305,0.0004241544229444117,0.000467616569949314
6,0.00042429144377820194,0.00044085420086048543,0.0004527237615548074
7,0.00046260975068435073,0.0004431955458130687,0.0004635659861378372
8,0.0004423639620654285,0.0004400127509143203,0.000438554649008438
9,0.00045396736823022366,0.00044662473374046385,0.0004476626927498728
10,0.0004237148095853626,0.0004387992958072573,0.0004394275601953268
11,0.0004071048460900783,0.0003870657237712294,0.0004330455267336219
12,0.0004255868552718311,0.0004042120126541704,0.0004310147778596729
13,0.00035991272307001054,0.0004225535085424781,0.0004287499177735299
14,0.00041166105074808,0.00041315786074846983,0.0004025164234917611
15,0.0004068274283781648,0.0003980978799518198,0.0004242146387696266
16,0.0004369815578684211,0.0004275566607248038,0.0004128743603359908
17,0.000388939370168373,0.000377906602807343,0.0004199432150926441
18,0.0003463798784650862,0.0003881000156980008,0.00042649483657442033
19,0.0003617594775278121,0.0003672586753964424,0.00041026523103937507
20,0.000394030095776543,0.00036371315945871174,0.00041411715210415423
21,0.0003862270095851272,0.0003504205960780382,0.0003925064229406416
22,0.0003962953924201429,0.00038177176611498,0.0003817555843852461
23,0.0003989413380622864,0.000401334255002439,0.0003921859024558216
24,0.0003625303506851196,0.00037760561099275947,0.00041411444544792175
25,0.00036745896795764565,0.00035055942134931684,0.00037412490928545594
26,0.0003758856328204274,0.00040061079198494554,0.0004168576269876212
27,0.00039134445250965655,0.00036698507028631866,0.0003929631202481687
28,0.0003672646125778556,0.0003748914459720254,0.00042483225115574896
29,0.0003277162613812834,0.00037458824226632714,0.00039525318425148726
30,0.00038440045318566263,0.00036706856917589903,0.0003796051314566285
31,0.000372616748791188,0.0003762856649700552,0.00041469052666798234
32,0.000362802209565416,0.00033381747198291123,0.00038037385093048215
33,0.00038708694046363235,0.00038872973527759314,0.0004087158595211804
34,0.00036792096216231585,0.0004003269714303314,0.00040284363785758615
35,0.00036581806489266455,0.0003690694575197994,0.00035288347862660885
36,0.00034781431895680726,0.00038879248313605785,0.00039886136073619127
37,0.0003712528559844941,0.0003604451776482165,0.0003807868924923241
38,0.00034527998650446534,0.0003688366268761456,0.00038415074232034385
39,0.0003731004544533789,0.0003580088377930224,0.00042586022755131125
40,0.0003724732086993754,0.0003239123325329274,0.0004004048532806337
41,0.0004118709766771645,0.0003991115081589669,0.0003908212820533663
42,0.0003986582742072642,0.0003400416753720492,0.0003713069309014827
43,0.0003590786946006119,0.0003963699855376035,0.0003613812441471964
44,0.0003704541886691004,0.0003898288414347917,0.0003823582374025136
45,0.0003944779455196112,0.000409486994612962,0.000417794130044058
46,0.0003650568542070687,0.0003849494678433985,0.0004035887832287699
47,0.00036267118412069976,0.00033955639810301363,0.0003896309644915163
48,0.0003982206981163472,0.00041893761954270303,0.0003995821753051132
49,0.0003889717336278409,0.00035724390181712806,0.00035494662006385624
50,0.0003858398413285613,0.00038470426807180047,0.0004014878941234201
51,0.0003589345433283597,0.0003701530222315341,0.00038524813135154545
52,0.00035677271080203354,0.00034821763983927667,0.000400750752305612
53,0.0003768957685679198,0.00038833127473481,0.0003805121232289821
54,0.000393411930417642,0.0003436855331528932,0.000423357356339693
55,0.0003793727373704314,0.0004044301458634436,0.0003883366007357836
56,0.0003937626024708152,0.00041434791637584567,
57,0.0003524912754073739,0.0003969905956182629,
58,0.0004055150493513793,0.0003712895850185305,
59,0.0004112305177841335,0.0003515915886964649,
