step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/g_rms_step
199,9.407299454076395e-07,9.454051515569885e-07,9.259181386222758e-07
200,9.231998207539991e-07,9.890144582589832e-07,9.241052368451077e-07
201,8.85628869057098e-07,8.859646634030914e-07,9.381324373465372e-07
202,9.325409830268304e-07,9.199301406831928e-07,9.258530067019579e-07
203,8.152116117939089e-07,9.129774794321372e-07,9.016888417279672e-07
204,8.990026775724292e-07,9.398159150390455e-07,9.672637990691402e-07
205,9.193284109162698e-07,9.545769867919484e-07,9.216491457089455e-07
206,8.253761259083562e-07,9.385109674819878e-07,9.169599697109472e-07
207,8.702208935384823e-07,8.673614677396331e-07,9.550825281292849e-07
208,9.210302286779114e-07,8.754123875106023e-07,9.56699644399871e-07
209,9.06618668006662e-07,9.027707200756852e-07,9.728172872762752e-07
210,8.726016165013504e-07,9.467170968286696e-07,9.634898102773513e-07
211,8.97271729069265e-07,8.949186778806527e-07,9.669028714938106e-07
212,9.610583582276102e-07,9.50971803726494e-07,9.260371215964088e-07
213,9.220389712593071e-07,9.2793194656245e-07,8.80129188898436e-07
214,9.357611864811232e-07,8.03925065013534e-07,8.686686891960974e-07
215,9.18242770607782e-07,8.862827679731682e-07,9.994795654619229e-07
216,9.410908348419392e-07,9.569919216234098e-07,9.26486729208208e-07
217,9.613583394275598e-07,9.319195546101706e-07,9.040573260267576e-07
218,9.186024270967413e-07,8.61548982641154e-07,9.296066901226707e-07
219,1.0013001860999608e-06,9.435385328601331e-07,9.140046285903791e-07
220,9.943574378691569e-07,8.354768867706033e-07,9.245634159780611e-07
221,9.65969937602053e-07,8.555617435456048e-07,9.278944970090442e-07
222,9.562724289731824e-07,9.085405252445472e-07,8.903908725150367e-07
223,1.0921980939640517e-06,8.861599545365118e-07,9.147185581197103e-07
224,1.2009632164246322e-06,9.218888720905944e-07,1.0005856512019438e-06
225,1.0682340423450082e-06,9.21629652964082e-07,8.939907284417798e-07
226,1.1285719642822088e-06,9.040885043936944e-07,8.905407338613798e-07
227,1.2251966141040173e-06,9.052262966248159e-07,9.03670747087918e-07
228,1.3178551901756554e-06,8.36282203935323e-07,8.922872749533613e-07
229,1.2945206858750145e-06,8.248238161190057e-07,8.812174983597387e-07
230,1.3045402150670186e-06,8.768593271500417e-07,8.734711560460967e-07
231,1.3393002688541353e-06,8.872613507942185e-07,8.445752186260366e-07
232,1.3195633065130522e-06,7.997306706555692e-07,8.725394265164803e-07
233,1.2544672430831313e-06,9.08004419670372e-07,9.149615840386271e-07
234,1.1680731691206629e-06,8.834341233846625e-07,8.751663454152052e-07
235,1.1918196802512723e-06,8.460000552789351e-07,9.10099762942534e-07
236,1.1950049168128592e-06,8.854179320645352e-07,9.303696400155328e-07
237,1.1586882081679982e-06,9.002058763036339e-07,9.377392492957201e-07
238,1.1970052757130405e-06,8.970074016045965e-07,8.806746874011844e-07
239,1.0553090674740554e-06,8.61978520109042e-07,8.94115649957655e-07
240,1.1172543231662648e-06,9.235067414265733e-07,9.516432042015093e-07
241,1.0141222445245569e-06,8.809777079846087e-07,8.393653393646107e-07
242,1.0426015718041594e-06,8.850899826933968e-07,9.232629285224638e-07
243,1.0801430429421352e-06,8.936789900918539e-07,8.832706131450997e-07
244,9.962596395771557e-07,8.981566383918355e-07,8.834096119458342e-07
245,1.0048538884425892e-06,9.015276572341264e-07,9.311700550369208e-07
246,9.645066022584288e-07,8.74414894033886e-07,8.24470346172461e-07
247,9.90760585559075e-07,8.740073479694803e-07,9.024327750048584e-07
248,9.238383654395244e-07,8.957798995388721e-07,9.168245954930374e-07
249,1.0240304263711179e-06,9.646645289995382e-07,8.543124534308877e-07
250,9.470633870011118e-07,9.177201923999454e-07,9.13414736801577e-07
251,9.889146178280763e-07,9.037560410474544e-07,9.25361476587329e-07
252,9.103288767041942e-07,9.457928125160335e-07,9.020857975357111e-07
253,1.0021494576545365e-06,9.192247119073468e-07,9.380122496498603e-07
254,9.042683791350654e-07,9.400461864945663e-07,9.14427762134076e-07
255,9.021045185200952e-07,8.698348558974e-07,9.225990136275567e-07
256,9.127208668484986e-07,9.37417061880957e-07,9.074771422838423e-07
257,9.324671583174772e-07,9.013361018924847e-07,9.01901113826129e-07
258,9.106744619005519e-07,8.745930691218131e-07,9.123756886725153e-07
259,9.288476829842784e-07,8.804505451649481e-07,9.406094229774286e-07
260,9.167772412262806e-07,9.224650393908728e-07,8.635511677950967e-07
261,8.721893504088969e-07,9.508281786128907e-07,9.006159459294963e-07
262,9.115871746210375e-07,9.357969879853489e-07,8.533401841536935e-07
263,1.001246987779399e-06,9.193668244088805e-07,8.788172158179893e-07
264,8.969337330385542e-07,9.241907272127813e-07,9.404282880904316e-07
265,8.813808344729714e-07,8.860124182936635e-07,8.725073149437159e-07
266,8.9166434267433e-07,8.873137570035e-07,9.262870334731303e-07
267,8.677203379836587e-07,8.646156047750322e-07,8.408285678419343e-07
268,8.213715932644534e-07,8.889746007690558e-07,8.969751495130408e-07
269,9.375882505352436e-07,9.442280325031994e-07,9.045088099890307e-07
270,9.584460655415382e-07,8.728890009791603e-07,9.180702198292291e-07
271,8.600308135517765e-07,8.910618639775244e-07,9.1750412802623e-07
272,8.747002765677292e-07,8.577662994954185e-07,9.574317577584213e-07
273,9.027516263513984e-07,9.051492423084612e-07,9.459407747316692e-07
274,9.531455752528064e-07,8.756797439212702e-07,8.738134265442271e-07
275,9.518161755961332e-07,9.076463506555052e-07,9.79146395208469e-07
276,8.481218680736544e-07,9.085517291086322e-07,9.010317763425344e-07
277,8.460053540831806e-07,8.668478116420175e-07,8.238396613142171e-07
278,9.059184850144667e-07,9.356806617374015e-07,8.982170790027785e-07
279,8.991519690555826e-07,9.111397197714712e-07,8.879388447846064e-07
280,9.081428473376748e-07,9.099746346380064e-07,9.347217694046161e-07
281,9.202543895394432e-07,9.71592536185789e-07,9.289819205906524e-07
282,9.271244463687369e-07,9.722682167352e-07,9.885503608088731e-07
283,9.171186431870067e-07,1.000976285439534e-06,9.471924475311151e-07
284,8.344223454925741e-07,9.123698634531244e-07,9.09871607242996e-07
285,8.528679462564282e-07,8.763440877155783e-07,9.064318652570243e-07
286,8.394744626288245e-07,9.118797010833131e-07,9.054194645100323e-07
287,8.613204773255513e-07,9.092333213274434e-07,9.890436566267929e-07
288,9.269290484251237e-07,9.29178798579846e-07,9.725710068767402e-07
289,8.56158298280304e-07,8.50604234837834e-07,8.854699956612233e-07
290,8.044833568519121e-07,8.289743032866815e-07,8.964934436529288e-07
291,8.612039859981212e-07,9.177511436671636e-07,8.968717830581468e-07
292,8.570507769775643e-07,9.325972055259989e-07,9.623241627376404e-07
293,7.615364274064112e-07,8.805857491158654e-07,8.41825685854935e-07
294,8.493557209851159e-07,9.22432085507644e-07,9.748532717171383e-07
295,8.949017910337627e-07,9.640052138607085e-07,9.646438318289136e-07
296,8.65798939583478e-07,9.295839329387048e-07,8.953207883050824e-07
297,8.707761807593163e-07,9.275264751940792e-07,9.260485776849099e-07
298,8.85643244863469e-07,8.668130819080932e-07,9.188534702555865e-07
299,8.720113409432716e-07,8.872788677986865e-07,8.936165639894829e-07
300,8.509962735508322e-07,8.628564972238962e-07,8.876821493191876e-07
