step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/r_hat_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/r_hat_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/r_hat_step
1,0.04271033075644433,0.05,0.04961941089353336
2,0.04271033075644433,0.047533332297137174,0.04434413160361694
3,0.04572377993576392,0.03754429496082835,0.04434413160361694
4,0.035181371954126975,0.031447161309209416,0.03554485036829991
5,0.028406008877219547,0.04442371637906768,0.03539803359320356
6,0.028406008877219547,0.04690908311341227,0.03539803359320356
7,0.028406008877219547,0.0484344425816547,0.037825601761743655
8,0.028406008877219547,0.060098347775559585,0.026497442366832432
9,0.021005400734024016,0.060098347775559585,0.0226492884187456
10,0.021005400734024016,0.060098347775559585,0.0226492884187456
11,0.018291062591314917,0.05391742885828043,0.0226492884187456
12,0.019304997459995844,0.027221854776020987,0.0226492884187456
13,0.01982547694574356,0.020948390698608804,0.01917082637141867
14,0.01982547694574356,0.021469666624321784,0.01917082637141867
15,0.024190381812561872,0.02404734660385036,0.016262839321768856
16,0.012463357844217223,0.013215819960703342,0.016262839321768856
17,0.011218403740718176,0.01381411759339468,0.013911453405231963
18,0.006391347531647334,0.01381411759339468,0.0069695964948489
19,0.008140337485464107,0.01381411759339468,0.008404720676956298
20,0.008140337485464107,0.014120580657837256,0.008404720676956298
21,0.0076889114413080575,0.014230711272581823,0.013532602287091244
22,0.007507417901985334,0.015652442394047027,0.0144957878781212
23,0.009174568146489124,0.015652442394047027,0.0144957878781212
24,0.009174568146489124,0.01230599438854496,0.0144957878781212
25,0.009448818995803644,0.01230599438854496,0.014719582208415507
26,0.01052374584057663,0.012373199966104708,0.014719582208415507
27,0.01052374584057663,0.012373199966104708,0.01662471564953758
28,0.01052374584057663,0.011335337945977832,0.01662471564953758
29,0.011877474178585735,0.013700989885207428,0.019076834906112984
30,0.009402150304103202,0.014868847993129052,0.010380932710503853
31,0.009911338706092275,0.017050466547219065,0.010380932710503853
32,0.009911338706092275,0.017050466547219065,0.010380932710503853
33,0.017251162718961256,0.013637068382791577,0.010380932710503853
34,0.020977300182824662,0.015117480881755735,0.011085815515990973
35,0.020977300182824662,0.014631626824822122,0.011085815515990973
36,0.02148356239231076,0.014631626824822122,0.012799802551946043
37,0.02148356239231076,0.01789834208015101,0.012799802551946043
38,0.02148356239231076,0.01663320210858688,0.012799802551946043
39,0.017743599161420466,0.01965743080503827,0.012799802551946043
40,0.01834149306875353,0.01965743080503827,0.016535562735255423
41,0.018926364296825617,0.020431712387491335,0.016535562735255423
42,0.0219245381790165,0.020431712387491335,0.016535562735255423
43,0.0219245381790165,0.012428351770470731,0.018944286098824
44,0.01921519934787108,0.012698853194801182,0.019544282898527526
45,0.015593569104173102,0.012698853194801182,0.019544282898527526
46,0.01009403340067604,0.011492315312795124,0.013055677790809631
47,0.01009403340067604,0.012895545842294236,0.010709060924394937
48,0.01009403340067604,0.012895545842294236,0.016947601203090808
49,0.01009403340067604,0.00864744055721963,0.017288733828431997
50,0.01009403340067604,0.008922948264719498,0.014453928713887478
51,0.01009403340067604,0.012631050993821577,0.014453928713887478
52,0.011048679276274807,0.019241250562225625,0.016414328535861205
53,0.013068595673521808,0.020304252623606266,0.016414328535861205
54,0.008282674380052093,0.020304252623606266,0.016414328535861205
55,0.008282674380052093,0.020304252623606266,0.017337755965061263
56,0.008282674380052093,0.020304252623606266,
57,0.008282674380052093,0.020304252623606266,
58,0.008282674380052093,0.020304252623606266,
59,0.009349677483759682,0.020304252623606266,
