step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/g_norm_A1_sq_step
1,0.0015833691933716248,0.001683635974115604,0.0017174026016153793
2,0.0018861177570664736,0.0017857505663143765,0.0017389504135841825
3,0.001680334482979114,0.0014986831346543049,0.0017356507552996753
4,0.001989221349921607,0.002002032479685463,0.0016392767491770577
5,0.0022635071577584483,0.001867221120866572,0.0019218302369317293
6,0.0018146853636258325,0.0017735208406179166,0.002066518475562909
7,0.00199978020673152,0.002384252909475372,0.0019036054043361243
8,0.0033133706557646487,0.0025954043906103643,0.0025475792770874904
9,0.003246111206673277,0.003564251593878162,0.0030586931284923456
10,0.003173225913897683,0.0030097729567815385,0.0025535659921192277
11,0.0035957045430033393,0.0030942683048869116,0.0027371313803275636
12,0.004606110411304243,0.004032201616211584,0.003316252063918986
13,0.00442996029040875,0.003543121202478927,0.003589030716050965
14,0.00400058183337579,0.0043415498045517725,0.00319834466089078
15,0.0039324243130016276,0.004051309217216785,0.0039445686438915
16,0.004570579079214744,0.005033859342735297,0.0038282758340637177
17,0.004459949348760871,0.004748841892877138,0.0041708062014947965
18,0.00435800281681463,0.005880388353208616,0.005148534744812287
19,0.003950566257219289,0.004916228736131823,0.0038330318187922295
20,0.002630101300132247,0.002980936597287164,0.0038977119368751863
21,0.0033376621810363226,0.004710740387344977,0.004715556524569349
22,0.0034305103437071347,0.004151478292952,0.004248646871041505
23,0.0040547844497992765,0.004124292338574602,0.003966987312030336
24,0.004055269648768827,0.004978311620871549,0.004829426175378967
25,0.002915223603674205,0.0032692632316222215,0.004293396058216768
26,0.003209357104381194,0.0038317879668352834,0.0036384751674497537
27,0.0034140275120649976,0.0042018152626744805,0.003992120679553748
28,0.003834301046323411,0.0030766038270729165,0.004038402119788545
29,0.0039966154560523255,0.003921176135125471,0.004514288598934641
30,0.0033349786031585367,0.0033647594998164713,0.0037254973932575887
31,0.0030747659271342254,0.003475962143729416,0.0036139621229057334
32,0.003079873728543465,0.003420078062678951,0.003404283856521985
33,0.0033045348485011604,0.003515713918466435,0.003693814959760058
34,0.004191129412144284,0.003951300141615406,0.003714982907907652
35,0.0037897487354177977,0.00391659973511554,0.004044231982514621
36,0.0033338536835894363,0.003612058864049488,0.004138205871671701
37,0.0035185070608865147,0.004635464182054871,0.003434551895898226
38,0.004834774500848378,0.002779112034835236,0.004182132084951497
39,0.003785470729746449,0.0034415296361793284,0.004342896698679984
40,0.0031851655162772313,0.0034474332009587667,0.003958009444521673
41,0.003941288218456839,0.003917012040734502,0.003609201568043068
42,0.0029921482927721447,0.004114586237777668,0.004512713290893988
43,0.003219403810571659,0.0033590265693780137,0.00401259705414732
44,0.003141427623107082,0.003594028416616742,0.003693013102629329
45,0.003713810856194517,0.0032296211094067747,0.0037961611327453166
46,0.003342256626216441,0.003248388215579684,0.003186031749186033
47,0.003570569090859439,0.00387293376228709,0.0034634615613365178
48,0.003868370260188717,0.003835911774594271,0.004304660433816694
49,0.0028323966715946536,0.002964799937426328,0.003236832177837384
50,0.0030786243524392144,0.0033600428401942065,0.0037655600617051543
51,0.003753274203370634,0.004373320862173851,0.003836624341148993
52,0.003272098398825957,0.0037779208333410647,0.0032233083798565813
53,0.0036861964523387343,0.004779625737552444,0.0030664540253128965
54,0.0030337141738665976,0.003198105525302518,0.002789808081347305
55,0.0029539040142397247,0.0035058880731253985,0.004095551792564241
56,0.003212767752155329,0.0030815012678474126,0.0033179233479691647
57,0.003869851386490016,0.0044140034313020615,0.004176893515709888
58,0.0032077640298956494,0.003268999969138471,0.0033752793118200634
