step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/alpha_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/alpha_t_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/alpha_t_step
29,2.969368544646434e-06,2.5411059420544463e-06,2.8615252359169473e-06
30,2.4999999999999998e-06,2.757707165935371e-06,1.4999999999999996e-06
31,2.4999999999999998e-06,3.1623293076595806e-06,1.5571399065755775e-06
32,2.4999999999999998e-06,3.1623293076595806e-06,1.5571399065755775e-06
33,4.312790679740314e-06,1.8961716897214343e-06,1.5571399065755775e-06
34,5.2443250457061655e-06,2.803820805604689e-06,1.6628723273986456e-06
35,5.2443250457061655e-06,2.6235992827235964e-06,1.6628723273986456e-06
36,5.3708905980776895e-06,2.7137100441641427e-06,1.919970382791906e-06
37,5.3708905980776895e-06,3.3195837522586634e-06,1.919970382791906e-06
38,5.3708905980776895e-06,2.8502958064667764e-06,1.919970382791906e-06
39,3.500908982632543e-06,3.6458398000963566e-06,1.919970382791906e-06
40,4.585373267188382e-06,3.6458398000963566e-06,2.480334410288314e-06
41,4.7315910742064035e-06,3.789444864144984e-06,2.480334410288314e-06
42,5.481134544754125e-06,3.789444864144984e-06,2.480334410288314e-06
43,5.481134544754125e-06,1.8546878461665067e-06,2.8416429148236003e-06
44,4.126465129181415e-06,2.355240868065047e-06,2.9316424347791293e-06
45,2.9929847151187804e-06,2.355240868065047e-06,2.9316424347791293e-06
46,2.4999999999999998e-06,1.907690638925823e-06,1.4999999999999996e-06
47,2.52350835016901e-06,2.3917212143386145e-06,1.4999999999999996e-06
48,2.52350835016901e-06,2.3917212143386145e-06,2.5421401804636208e-06
49,2.52350835016901e-06,1.8546878461665067e-06,2.5933100742647987e-06
50,2.52350835016901e-06,1.8546878461665067e-06,1.7428685399014436e-06
51,2.52350835016901e-06,2.3426656762550256e-06,2.1680893070831218e-06
52,2.762169819068702e-06,3.5686513562804335e-06,2.4621492803791804e-06
53,3.267148918380452e-06,3.7658050566496947e-06,2.4621492803791804e-06
54,2.4999999999999998e-06,3.7658050566496947e-06,2.4621492803791804e-06
55,2.4999999999999998e-06,3.7658050566496947e-06,2.6006633947591888e-06
56,2.4999999999999998e-06,3.7658050566496947e-06,2.435138435182549e-06
57,2.4999999999999998e-06,3.7658050566496947e-06,2.756668325041973e-06
58,2.4999999999999998e-06,3.7658050566496947e-06,2.756668325041973e-06
59,2.4999999999999998e-06,3.7658050566496947e-06,2.756668325041973e-06
60,2.4999999999999998e-06,3.7658050566496947e-06,1.4999999999999996e-06
61,2.586635520745725e-06,2.21780735048543e-06,1.4999999999999996e-06
62,2.586635520745725e-06,2.991806203567562e-06,1.4999999999999996e-06
63,2.594612549042153e-06,2.991806203567562e-06,1.5904509144091954e-06
64,2.594612549042153e-06,2.991806203567562e-06,1.7512561025937386e-06
65,2.4999999999999998e-06,2.991806203567562e-06,1.7512561025937386e-06
66,2.4999999999999998e-06,2.991806203567562e-06,2.4154251775411697e-06
67,2.4999999999999998e-06,2.991806203567562e-06,2.2607074434072926e-06
68,2.4999999999999998e-06,2.991806203567562e-06,1.4999999999999996e-06
69,2.4999999999999998e-06,2.991806203567562e-06,1.7923315770725637e-06
70,2.4999999999999998e-06,2.991806203567562e-06,1.9539365043592588e-06
71,2.56293958506886e-06,3.3715155589932738e-06,1.4999999999999996e-06
72,2.56293958506886e-06,3.0277797914932198e-06,1.6592695531295121e-06
73,3.1980593210072875e-06,1.8546878461665067e-06,2.0938503115967142e-06
74,3.1980593210072875e-06,2.1437041313859046e-06,2.3290567181963573e-06
75,3.334431631224806e-06,2.1437041313859046e-06,2.3290567181963573e-06
76,3.334431631224806e-06,2.1437041313859046e-06,2.3251082367754864e-06
77,3.334431631224806e-06,1.8546878461665067e-06,1.8283698949830791e-06
78,3.890225110244562e-06,1.8546878461665067e-06,1.4999999999999996e-06
79,2.4999999999999998e-06,1.8546878461665067e-06,1.4999999999999996e-06
80,2.4999999999999998e-06,1.8546878461665067e-06,1.4999999999999996e-06
81,2.4999999999999998e-06,1.8546878461665067e-06,1.4999999999999996e-06
82,2.4999999999999998e-06,1.8546878461665067e-06,1.4999999999999996e-06
83,2.4999999999999998e-06,2.036349154498166e-06,1.4999999999999996e-06
84,2.4999999999999998e-06,2.7970110253313476e-06,1.4999999999999996e-06
85,2.4999999999999998e-06,2.7970110253313476e-06,1.4999999999999996e-06
86,3.194379291910273e-06,2.7970110253313476e-06,1.4999999999999996e-06
87,3.37565715842438e-06,3.155707302103836e-06,1.4999999999999996e-06
88,4.0820272625074355e-06,3.155707302103836e-06,1.4999999999999996e-06
89,4.0820272625074355e-06,3.4052519862894823e-06,1.4999999999999996e-06
90,2.52282307526369e-06,3.4052519862894823e-06,1.4999999999999996e-06
91,2.5949522680934063e-06,3.4052519862894823e-06,1.4999999999999996e-06
92,3.591396656349539e-06,3.4052519862894823e-06,1.4999999999999996e-06
93,3.716112899193441e-06,1.8546878461665067e-06,1.4999999999999996e-06
94,3.716112899193441e-06,2.469459998361531e-06,1.4999999999999996e-06
95,3.716112899193441e-06,2.53388372126544e-06,1.4999999999999996e-06
96,3.716112899193441e-06,3.0413128304248003e-06,1.4999999999999996e-06
97,3.716112899193441e-06,3.0413128304248003e-06,1.4999999999999996e-06
98,3.716112899193441e-06,3.369455367348617e-06,1.4999999999999996e-06
99,4.6533249319439995e-06,1.8546878461665067e-06,1.4999999999999996e-06
100,4.750011936669967e-06,1.8546878461665067e-06,1.4999999999999996e-06
101,4.750011936669967e-06,1.8648852437150926e-06,1.4999999999999996e-06
102,4.750011936669967e-06,1.8546878461665067e-06,1.4999999999999996e-06
103,4.750011936669967e-06,1.8546878461665067e-06,1.4999999999999996e-06
104,4.750011936669967e-06,2.079237821913693e-06,1.4999999999999996e-06
105,4.750011936669967e-06,1.8546878461665067e-06,1.4999999999999996e-06
106,4.750011936669967e-06,1.8546878461665067e-06,1.4999999999999996e-06
107,4.750011936669967e-06,1.8546878461665067e-06,1.4999999999999996e-06
108,3.403387487558151e-06,1.904843508363053e-06,1.4999999999999996e-06
109,4.076699712114059e-06,1.904843508363053e-06,1.4999999999999996e-06
110,5.069409610252114e-06,1.904843508363053e-06,1.4999999999999996e-06
111,4.1847500547085384e-06,1.904843508363053e-06,1.4999999999999996e-06
112,4.627079832480325e-06,2.2425258581946407e-06,1.4999999999999996e-06
113,2.4999999999999998e-06,2.2425258581946407e-06,1.525954691060428e-06
114,2.4999999999999998e-06,1.8546878461665067e-06,1.666552315385838e-06
115,2.4999999999999998e-06,1.8546878461665067e-06,1.666552315385838e-06
116,2.8288860206541244e-06,2.1272303891730007e-06,1.666552315385838e-06
117,3.0883075804176322e-06,2.290343168964863e-06,1.666552315385838e-06
118,3.0883075804176322e-06,2.290343168964863e-06,1.666552315385838e-06
119,2.4999999999999998e-06,2.290343168964863e-06,1.666552315385838e-06
120,2.4999999999999998e-06,1.8546878461665067e-06,1.666552315385838e-06
121,2.4999999999999998e-06,2.0104245463280187e-06,1.8170192739977649e-06
122,2.4999999999999998e-06,2.1166770547491418e-06,1.8170192739977649e-06
123,2.4999999999999998e-06,2.336947733531219e-06,2.4090233358043368e-06
124,2.4999999999999998e-06,2.336947733531219e-06,2.4090233358043368e-06
125,2.4999999999999998e-06,2.4911161421308717e-06,2.596171011528885e-06
126,2.4999999999999998e-06,3.00289918118836e-06,2.8387597288528185e-06
127,2.4999999999999998e-06,2.870633876767295e-06,1.4999999999999996e-06
128,2.4999999999999998e-06,3.07092055825436e-06,2.1553410127310124e-06
129,2.5489210865699726e-06,3.642645339116048e-06,2.5908126095134105e-06
130,2.4999999999999998e-06,3.642645339116048e-06,2.5908126095134105e-06
131,3.3347151557337127e-06,3.642645339116048e-06,2.5908126095134105e-06
132,3.3347151557337127e-06,1.8546878461665067e-06,2.5908126095134105e-06
133,3.3347151557337127e-06,1.9843579149296115e-06,2.5908126095134105e-06
134,4.638739180142066e-06,1.8546878461665067e-06,2.5908126095134105e-06
135,4.638739180142066e-06,2.940856584929374e-06,1.8698897751021773e-06
136,4.638739180142066e-06,2.940856584929374e-06,2.3415120019768913e-06
137,4.9122408512315655e-06,2.8738554717622005e-06,2.6441653776466357e-06
138,4.9122408512315655e-06,2.907356028345787e-06,2.673900167292568e-06
139,4.9122408512315655e-06,3.437173161038313e-06,2.673900167292568e-06
140,3.192531984607321e-06,3.76234387166497e-06,2.8097572668138703e-06
141,4.3098031332813564e-06,3.629526954002605e-06,3.5276032962281377e-06
142,3.873147670281618e-06,3.695935412833787e-06,3.5276032962281377e-06
143,4.0914754017814876e-06,4.084063066992397e-06,2.6344020732019195e-06
144,4.6813473180055806e-06,4.084063066992397e-06,3.081002684715028e-06
145,4.689442892546231e-06,2.84520931740725e-06,3.081002684715028e-06
146,2.4999999999999998e-06,1.8546878461665067e-06,3.57481901613627e-06
147,3.055725644903163e-06,2.1241775566217923e-06,2.7895494526162753e-06
148,2.4999999999999998e-06,2.6575787658053332e-06,3.1821842343762728e-06
149,2.4999999999999998e-06,2.6575787658053332e-06,1.4999999999999996e-06
150,2.4999999999999998e-06,2.9634387095568073e-06,1.8375904888215716e-06
151,3.288078894345123e-06,2.9634387095568073e-06,2.0029081626548756e-06
152,2.4999999999999998e-06,3.211557906769063e-06,1.804218830728489e-06
153,2.600427460540531e-06,3.211557906769063e-06,1.9035634966916825e-06
154,2.600427460540531e-06,3.6423811907436147e-06,2.4950733002221032e-06
155,2.982685017575302e-06,3.8106224451075423e-06,1.7039640294519475e-06
156,2.982685017575302e-06,4.26779511610446e-06,2.0995186648370256e-06
157,3.400505176733903e-06,4.26779511610446e-06,2.0995186648370256e-06
158,3.400505176733903e-06,1.8546878461665067e-06,2.0995186648370256e-06
159,2.4999999999999998e-06,2.1904639284250344e-06,2.1849638551619282e-06
160,2.4999999999999998e-06,2.6567499896581733e-06,2.1849638551619282e-06
161,2.4999999999999998e-06,2.6567499896581733e-06,2.1849638551619282e-06
162,2.4999999999999998e-06,1.8546878461665067e-06,1.568901270148711e-06
163,2.4999999999999998e-06,2.0271098443395223e-06,1.8769325626553197e-06
164,2.4999999999999998e-06,1.8546878461665067e-06,2.1062971885513405e-06
165,2.4999999999999998e-06,1.8546878461665067e-06,1.4999999999999996e-06
166,2.4999999999999998e-06,2.3128189117367114e-06,1.7297871125497614e-06
167,2.4999999999999998e-06,1.8546878461665067e-06,1.7792927745183038e-06
168,2.4999999999999998e-06,2.8517958201192805e-06,1.9686077873134624e-06
169,2.7790346183628143e-06,2.8517958201192805e-06,1.9686077873134624e-06
170,2.4999999999999998e-06,2.8517958201192805e-06,1.9686077873134624e-06
171,2.5008486830514733e-06,2.8517958201192805e-06,1.9686077873134624e-06
172,2.516455408497701e-06,1.8546878461665067e-06,1.9686077873134624e-06
173,2.516455408497701e-06,1.8546878461665067e-06,1.9686077873134624e-06
174,3.0150972418951556e-06,1.8546878461665067e-06,3.118884874901051e-06
175,3.4248474593496384e-06,1.8546878461665067e-06,3.234833263498663e-06
176,2.4999999999999998e-06,1.8546878461665067e-06,3.234833263498663e-06
177,2.4999999999999998e-06,1.90702952538109e-06,2.9790766305866852e-06
178,2.4999999999999998e-06,1.90702952538109e-06,3.106954947042674e-06
179,2.4999999999999998e-06,1.90702952538109e-06,3.106954947042674e-06
180,2.4999999999999998e-06,1.90702952538109e-06,1.967779530553454e-06
181,2.4999999999999998e-06,1.8546878461665067e-06,2.537367238798064e-06
182,2.4999999999999998e-06,1.8546878461665067e-06,2.537367238798064e-06
183,2.4999999999999998e-06,1.8546878461665067e-06,2.9432852031601304e-06
184,2.8446917019515385e-06,1.8546878461665067e-06,3.4610744041664798e-06
185,2.4999999999999998e-06,1.8546878461665067e-06,2.278758633249721e-06
186,2.4999999999999998e-06,1.8546878461665067e-06,2.657379960533056e-06
187,2.4999999999999998e-06,1.8546878461665067e-06,2.763648239620578e-06
188,2.4999999999999998e-06,1.8546878461665067e-06,2.9948451377630016e-06
189,2.4999999999999998e-06,2.486023217106516e-06,2.9948451377630016e-06
190,2.4999999999999998e-06,2.486023217106516e-06,2.0401564296572965e-06
191,2.4999999999999998e-06,2.486023217106516e-06,2.9314103620760184e-06
192,2.4999999999999998e-06,2.486023217106516e-06,2.9314103620760184e-06
193,2.4999999999999998e-06,2.486023217106516e-06,2.9314103620760184e-06
194,2.4999999999999998e-06,2.486023217106516e-06,2.106599141104115e-06
195,2.4999999999999998e-06,2.486023217106516e-06,2.5190047515900668e-06
196,2.4999999999999998e-06,2.486023217106516e-06,2.5190047515900668e-06
197,2.4999999999999998e-06,2.486023217106516e-06,2.5190047515900668e-06
198,2.4999999999999998e-06,2.659184784356832e-06,2.5190047515900668e-06
199,2.4999999999999998e-06,2.69582874233945e-06,2.5190047515900668e-06
200,2.4999999999999998e-06,2.714064805636935e-06,1.833989309008825e-06
201,2.4999999999999998e-06,2.714064805636935e-06,2.176497030299446e-06
202,2.4999999999999998e-06,2.8200002666505027e-06,2.176497030299446e-06
203,2.4999999999999998e-06,3.3057558507616862e-06,1.4999999999999996e-06
204,2.4999999999999998e-06,3.3057558507616862e-06,2.0254925751041658e-06
205,2.4999999999999998e-06,3.4663568999847177e-06,1.4999999999999996e-06
206,2.4999999999999998e-06,4.057974915974458e-06,1.4999999999999996e-06
207,2.4999999999999998e-06,1.8546878461665067e-06,1.4999999999999996e-06
208,2.4999999999999998e-06,2.189050579376675e-06,1.5412982342181679e-06
209,2.4999999999999998e-06,2.189050579376675e-06,1.4999999999999996e-06
210,2.4999999999999998e-06,2.1889689201515135e-06,1.4999999999999996e-06
211,2.4999999999999998e-06,2.447840769388569e-06,1.5938526074732867e-06
212,2.4999999999999998e-06,2.8409235615543966e-06,1.7825219038097891e-06
213,2.4999999999999998e-06,2.8409235615543966e-06,1.7825219038097891e-06
214,2.4999999999999998e-06,2.8409235615543966e-06,1.7825219038097891e-06
215,2.4999999999999998e-06,3.043651949045411e-06,2.3624923404065174e-06
216,2.4999999999999998e-06,3.043651949045411e-06,1.8902946099341405e-06
217,2.4999999999999998e-06,3.31440659726108e-06,2.1263934751703293e-06
218,2.4999999999999998e-06,3.340078858970261e-06,2.1700304081623417e-06
219,2.7286228881612717e-06,3.340078858970261e-06,2.1700304081623417e-06
220,2.7286228881612717e-06,3.340078858970261e-06,2.182478810578841e-06
221,2.7286228881612717e-06,3.340078858970261e-06,2.368749519759456e-06
222,2.7286228881612717e-06,2.681358651346237e-06,2.368749519759456e-06
223,2.8727225295712012e-06,3.0151880309405872e-06,2.368749519759456e-06
224,2.8727225295712012e-06,3.0151880309405872e-06,2.3720023665461675e-06
225,2.8727225295712012e-06,3.4825895658865077e-06,2.392437830899917e-06
226,2.8727225295712012e-06,3.0646041902115105e-06,1.4999999999999996e-06
227,2.7933770946190103e-06,3.6791930082203047e-06,2.2417291483872397e-06
228,3.9261635558586354e-06,3.6791930082203047e-06,2.6518256919747917e-06
229,2.9768926523322405e-06,3.6791930082203047e-06,2.7163835409554095e-06
230,3.6339034408671998e-06,3.770888048348522e-06,2.7163835409554095e-06
231,4.313809716551236e-06,4.123903271514231e-06,2.7163835409554095e-06
232,2.4999999999999998e-06,4.123903271514231e-06,1.4999999999999996e-06
233,2.7346261262838413e-06,4.123903271514231e-06,1.896419090925209e-06
234,2.826217994314786e-06,4.123903271514231e-06,2.2963334876944827e-06
235,2.4999999999999998e-06,4.123903271514231e-06,2.2963334876944827e-06
236,2.4999999999999998e-06,4.123903271514231e-06,2.2963334876944827e-06
237,2.4999999999999998e-06,3.3391019273640288e-06,1.6429983615143255e-06
238,2.4999999999999998e-06,3.731502599439131e-06,1.969665924604404e-06
239,2.4999999999999998e-06,3.731502599439131e-06,1.969665924604404e-06
240,2.4999999999999998e-06,3.731502599439131e-06,1.969665924604404e-06
241,2.4999999999999998e-06,3.731502599439131e-06,1.969665924604404e-06
242,2.4999999999999998e-06,3.731502599439131e-06,2.043617885649216e-06
243,2.4999999999999998e-06,3.731502599439131e-06,2.043617885649216e-06
244,2.4999999999999998e-06,3.731502599439131e-06,2.043617885649216e-06
245,2.4999999999999998e-06,3.731502599439131e-06,2.3009128950517407e-06
246,2.4999999999999998e-06,3.7426351889310846e-06,2.494702156495286e-06
247,2.4999999999999998e-06,1.8546878461665067e-06,1.4999999999999996e-06
248,2.5791124728501245e-06,2.662244400369385e-06,1.6675531999216448e-06
249,2.5791124728501245e-06,1.8546878461665067e-06,1.6675531999216448e-06
250,2.4999999999999998e-06,1.8546878461665067e-06,1.4999999999999996e-06
251,2.4999999999999998e-06,2.187428646459722e-06,1.4999999999999996e-06
252,2.4999999999999998e-06,2.539383446847839e-06,1.4999999999999996e-06
253,2.846022168206576e-06,2.539383446847839e-06,1.8811451188680278e-06
254,2.846022168206576e-06,2.6443440820843474e-06,1.8811451188680278e-06
255,2.846022168206576e-06,3.0299562309002288e-06,2.044306089193397e-06
256,3.2640282518491638e-06,3.0299562309002288e-06,1.4999999999999996e-06
257,3.2640282518491638e-06,3.0299562309002288e-06,2.088621563243553e-06
258,3.2640282518491638e-06,3.0299562309002288e-06,2.6035180996384433e-06
259,2.4999999999999998e-06,3.0299562309002288e-06,1.4999999999999996e-06
260,2.4999999999999998e-06,3.0867007462661085e-06,1.6236034205397613e-06
261,2.4999999999999998e-06,3.042125290984979e-06,1.9539548546896243e-06
262,2.4999999999999998e-06,3.064413018625544e-06,1.9539548546896243e-06
263,2.4999999999999998e-06,1.8546878461665067e-06,1.9722727437493934e-06
264,2.4999999999999998e-06,1.937499084478841e-06,1.9722727437493934e-06
265,2.4999999999999998e-06,1.937499084478841e-06,2.3470816641955993e-06
266,2.4999999999999998e-06,2.4850615995695016e-06,2.630237986966362e-06
267,2.4999999999999998e-06,2.60918971988043e-06,2.630237986966362e-06
268,2.4999999999999998e-06,1.8546878461665067e-06,2.630237986966362e-06
269,2.4999999999999998e-06,1.8546878461665067e-06,2.8387018898673825e-06
270,2.4999999999999998e-06,1.8546878461665067e-06,2.8387018898673825e-06
271,2.4999999999999998e-06,1.8546878461665067e-06,2.8387018898673825e-06
272,2.4999999999999998e-06,1.8546878461665067e-06,2.8387018898673825e-06
273,2.4999999999999998e-06,1.8546878461665067e-06,1.4999999999999996e-06
274,2.4999999999999998e-06,1.8546878461665067e-06,1.6861584227252559e-06
275,2.4999999999999998e-06,1.8546878461665067e-06,1.6861584227252559e-06
276,2.4999999999999998e-06,1.8546878461665067e-06,1.6861584227252559e-06
277,2.4999999999999998e-06,1.8546878461665067e-06,1.4999999999999996e-06
278,2.4999999999999998e-06,2.0203478976826852e-06,1.4999999999999996e-06
279,2.4999999999999998e-06,2.2277533374880868e-06,1.4999999999999996e-06
280,2.8487089967123127e-06,2.309571743848633e-06,1.4999999999999996e-06
281,3.0825478233729275e-06,2.309571743848633e-06,1.4999999999999996e-06
282,2.9480897679784527e-06,2.309571743848633e-06,1.4999999999999996e-06
283,3.135090623971548e-06,3.503587044834021e-06,1.4999999999999996e-06
284,3.135090623971548e-06,3.503587044834021e-06,1.4999999999999996e-06
285,3.135090623971548e-06,3.5835559007871253e-06,1.4999999999999996e-06
286,3.135090623971548e-06,1.8546878461665067e-06,1.4999999999999996e-06
287,3.135090623971548e-06,2.036945295787906e-06,1.4999999999999996e-06
288,3.282981943624742e-06,2.036945295787906e-06,1.4999999999999996e-06
289,2.4999999999999998e-06,2.036945295787906e-06,1.795826284509273e-06
290,2.4999999999999998e-06,2.036945295787906e-06,1.4999999999999996e-06
291,2.4999999999999998e-06,2.217370163544361e-06,1.4999999999999996e-06
292,2.4999999999999998e-06,2.217370163544361e-06,1.4999999999999996e-06
293,2.4999999999999998e-06,1.8546878461665067e-06,1.5463583612024142e-06
294,2.4999999999999998e-06,2.069441260640827e-06,1.5463583612024142e-06
295,2.4999999999999998e-06,2.069441260640827e-06,1.6399870295492236e-06
296,2.4999999999999998e-06,2.069441260640827e-06,1.6399870295492236e-06
297,2.4999999999999998e-06,2.069441260640827e-06,1.4999999999999996e-06
298,2.4999999999999998e-06,2.069441260640827e-06,1.4999999999999996e-06
299,2.7125390277711283e-06,2.069441260640827e-06,1.4999999999999996e-06
300,2.7125390277711283e-06,2.069441260640827e-06,1.4999999999999996e-06
