step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/r_hat_raw_step
1,0.025701102521481112,-0.020496376067124383,0.04873136964511121
2,-0.01746577614185292,0.04177777432379059,0.032035146593811965
3,0.05275516135417629,0.014236541176107786,-0.017182452702236957
4,0.010582419996974126,0.01722051612209856,0.01501319415256018
5,0.01259682836443555,0.07470234487540366,0.03505546111797875
6,-0.009856625693425406,0.0527082721602163,-0.011600439929756168
7,-0.01939591959411774,0.05199361467422038,0.0434899274883372
8,-0.00941097332467827,0.08731412656133765,6.50704453729204e-05
9,0.0037373150665677823,-0.0060943630593437575,0.01367026253987633
10,-0.03802162166258002,-0.0157805714391942,-0.0071768129663157335
11,0.011957606924993695,0.039495284717962445,-0.022409402256939232
12,0.028430411278124196,0.0005262806937615357,-0.03718173385387548
13,0.024509792317473,0.01467492662119662,0.01569236432409174
14,-0.00842448888096177,0.026161149955738573,-0.01644811843135203
15,0.06347452561392664,0.047246466419607544,0.013354852272119045
16,0.0007363338758725752,0.0023842933175563237,-0.016539121341286017
17,0.009973449637219129,0.01919879628761674,0.01156006748869507
18,0.0015642913225764928,-0.01448714240808883,2.7739584465838137e-05
19,0.023881247069815054,-0.006302719859306623,0.021320838315922873
20,-0.034131765155990826,0.01687874823782041,-0.004501566131300002
21,0.007237485397152008,0.015221886805282926,0.05968353677830576
22,0.007325924362662611,0.028448022487233875,0.0231644581973908
23,0.024178920347023226,-0.020350452704631525,-0.01754625961443152
24,-0.02707191094733711,0.008959546383042897,-0.019818570521869253
25,0.011917076639634311,-0.043737579735970505,0.016733731181064256
26,0.020198087443533512,0.012978050164142428,-0.012985765798950888
27,-0.028587222597720476,-0.003710671026533751,0.03377091661963626
28,-0.00587559538328474,0.010297475925850955,-0.010526873933387653
29,0.024061029220667697,0.0349918573382738,0.041145908215291585
30,0.006926826429620666,0.025379570964423663,0.001685030514894718
31,0.014494034323993947,0.036685033534029174,-0.061692459204124944
32,-0.007804152533844922,-0.06261629478133976,-0.0006125436079080208
33,0.08330957883478206,0.010223670218364084,-0.01567410625903425
34,0.05451253735759537,0.028441193372433195,0.017429760765375057
35,-0.08537195098385376,0.014145772767888507,-0.01383116444020626
36,0.026039922277685604,-0.008898477208049841,0.028225685875541688
37,-0.0036837025657871407,0.047298779378110986,-0.04238201532667685
38,-0.030066440644478266,0.015368062137022747,-0.004239534905969038
39,0.014003635930530172,0.04687548907310078,-0.03027969787903608
40,0.02372253823475114,-0.009470768473022874,0.05015740438503984
41,0.02419020534947436,0.027400246629568897,-0.016701514094070627
42,0.04890810311873447,-0.03052366948985686,-0.014759753696813102
43,-0.0353774952237131,0.004424991153450129,0.0406227963709412
44,0.01650586051672566,0.015133366013775218,0.024944254095859233
45,0.01197193886047512,-0.04664258487601793,-0.006249573350974683
46,0.004594497697178978,0.010285777430789064,0.006567072683091735
47,-1.818562434391696e-05,0.02552462060778626,0.008362444057980239
48,-0.04623351227398556,-0.012452571906709464,0.07309446371135364
49,-0.009638321891105249,0.004399335272145027,0.020358927456502716
50,-0.01113018144671724,0.011402517632218305,0.011619123599342958
51,-0.05667497211384149,0.04600397555574027,-0.039659370224463746
52,0.01964049215666371,0.07873304667786207,0.03405792693362474
53,0.031247843248744807,0.029871271176032037,-0.011744717448955423
54,0.003496753086582379,-0.013529720005259056,-0.02252620872792279
55,-0.02284500949438643,-0.009227561658087476,0.025648602827861775
56,-0.007325402260281846,-0.02214730167032911,
57,-0.00935482091934829,-0.007848515425333725,
58,-0.019006268438591156,-0.0235735164223158,
59,0.018952705417127992,-0.006113759197461515,
