step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/entropy_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/entropy_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/entropy_step
1,0.6784077286720276,0.6767823696136475,0.6747059226036072
2,0.6713986992835999,0.6784664988517761,0.6697341203689575
3,0.6806291341781616,0.6747375130653381,0.6793437004089355
4,0.6634091138839722,0.6673277020454407,0.669135332107544
5,0.6905102729797363,0.6889165639877319,0.6960461735725403
6,0.651837170124054,0.6413001418113708,0.6397833824157715
7,0.6644442677497864,0.647545337677002,0.6672183871269226
8,0.6863964796066284,0.6327646970748901,0.6757516264915466
9,0.6962242722511292,0.6407648921012878,0.6833491325378418
10,0.6505933403968811,0.5852251648902893,0.6496807336807251
11,0.6245488524436951,0.5513582825660706,0.6427263021469116
12,0.5863184332847595,0.5384982824325562,0.6233825087547302
13,0.5061954855918884,0.4913422763347626,0.5573263168334961
14,0.49635225534439087,0.4872151017189026,0.5593547821044922
15,0.4745761752128601,0.5024802088737488,0.5750870108604431
16,0.46854037046432495,0.4994565546512604,0.565637469291687
17,0.43113991618156433,0.4743134379386902,0.5448514819145203
18,0.4182409644126892,0.452299028635025,0.5303537845611572
19,0.409957617521286,0.4570222795009613,0.549059271812439
20,0.431010365486145,0.4678313136100769,0.5532973408699036
21,0.4226780831813812,0.45550107955932617,0.5501988530158997
22,0.40929484367370605,0.4424475431442261,0.4943418800830841
23,0.4250498712062836,0.4581405818462372,0.5211249589920044
24,0.4285631775856018,0.4419616758823395,0.5083841681480408
25,0.41160112619400024,0.4285108745098114,0.4910967350006103
26,0.4193528890609741,0.4439364969730377,0.4980831444263458
27,0.4262121319770813,0.4403494596481323,0.497165709733963
28,0.4286861717700958,0.4522569179534912,0.4922638535499573
29,0.4126875400543213,0.4421541392803192,0.4838245213031769
30,0.4221698045730591,0.4444127380847931,0.4822972118854522
31,0.44188427925109863,0.4642300307750702,0.48513340950012207
32,0.42200255393981934,0.4448368549346924,0.476130723953247
33,0.4363888204097748,0.46382808685302734,0.48653295636177063
34,0.4377746880054474,0.4633704721927643,0.4900135993957519
35,0.4111723303794861,0.43747678399086,0.4513405561447144
36,0.4394929707050323,0.46762698888778687,0.4807797074317932
37,0.42384251952171326,0.4524938464164734,0.4668554365634918
38,0.4263386130332947,0.4667621850967407,0.4736501276493073
39,0.4295368492603302,0.4764421284198761,0.48721110820770264
40,0.4111584722995758,0.4551770389080048,0.4619863033294678
41,0.4376061260700226,0.4936794340610504,0.49225932359695435
42,0.42375701665878296,0.46824732422828674,0.4708774983882904
43,0.41142910718917847,0.4585181772708893,0.4574650526046753
44,0.4128645360469818,0.46944788098335266,0.47040998935699463
45,0.4280774593353271,0.4776290357112885,0.47946658730506897
46,0.42039602994918823,0.475301593542099,0.4746871590614319
47,0.40509453415870667,0.45772647857666016,0.46178263425827026
48,0.42008623480796814,0.4745939970016479,0.4819368124008178
49,0.4040402173995972,0.4509705901145935,0.4554717540740967
50,0.41060325503349304,0.46384021639823914,0.45996153354644775
51,0.3874036073684693,0.44004952907562256,0.4495085477828979
52,0.3899206519126892,0.4458767771720886,0.45005151629447937
53,0.40314847230911255,0.45053067803382874,0.4686712622642517
54,0.4212244153022766,0.47053882479667664,0.4763824939727783
55,0.421471506357193,0.4743187725543976,0.48746514320373535
56,0.4275192022323608,0.4888320565223694,
57,0.4086590111255646,0.461453378200531,
58,0.4147511124610901,0.4540351629257202,
59,0.40755894780159,0.4469109773635864,
