step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/r_ctrl_step
1,0.04271033075644433,0.05,0.04961941089353336
2,0.04271033075644433,0.047533332297137174,0.04434413160361694
3,0.04572377993576392,0.03754429496082835,0.04434413160361694
4,0.035181371954126975,0.031447161309209416,0.03554485036829991
5,0.028406008877219547,0.04442371637906768,0.03539803359320356
6,0.028406008877219547,0.04690908311341227,0.03539803359320356
7,0.028406008877219547,0.0484344425816547,0.037825601761743655
8,0.028406008877219547,0.060098347775559585,0.026497442366832432
9,0.021005400734024016,0.060098347775559585,0.0226492884187456
10,0.021005400734024016,0.060098347775559585,0.0226492884187456
11,0.018291062591314917,0.05391742885828043,0.0226492884187456
12,0.019304997459995844,0.01,0.0226492884187456
13,0.01982547694574356,0.01467492662119662,0.01569236432409174
14,0.01982547694574356,0.021469666624321784,0.01917082637141867
15,0.024190381812561872,0.02404734660385036,0.013354852272119045
16,0.01,0.01,0.016262839321768856
17,0.01,0.01381411759339468,0.01156006748869507
18,0.01,0.01381411759339468,0.01
19,0.01,0.01381411759339468,0.01
20,0.01,0.014120580657837256,0.01
21,0.01,0.014230711272581823,0.013532602287091244
22,0.01,0.015652442394047027,0.0144957878781212
23,0.01,0.015652442394047027,0.0144957878781212
24,0.01,0.01,0.0144957878781212
25,0.01,0.01230599438854496,0.014719582208415507
26,0.01052374584057663,0.012373199966104708,0.014719582208415507
27,0.01052374584057663,0.012373199966104708,0.01662471564953758
28,0.01052374584057663,0.010297475925850955,0.01662471564953758
29,0.011877474178585735,0.013700989885207428,0.019076834906112984
30,0.01,0.014868847993129052,0.01
31,0.01,0.017050466547219065,0.010380932710503853
32,0.01,0.017050466547219065,0.010380932710503853
33,0.017251162718961256,0.010223670218364084,0.010380932710503853
34,0.020977300182824662,0.015117480881755735,0.011085815515990973
35,0.020977300182824662,0.014145772767888507,0.011085815515990973
36,0.02148356239231076,0.014631626824822122,0.012799802551946043
37,0.02148356239231076,0.01789834208015101,0.012799802551946043
38,0.02148356239231076,0.015368062137022747,0.012799802551946043
39,0.014003635930530172,0.01965743080503827,0.012799802551946043
40,0.01834149306875353,0.01965743080503827,0.016535562735255423
41,0.018926364296825617,0.020431712387491335,0.016535562735255423
42,0.0219245381790165,0.020431712387491335,0.016535562735255423
43,0.0219245381790165,0.01,0.018944286098824
44,0.01650586051672566,0.012698853194801182,0.019544282898527526
45,0.01197193886047512,0.012698853194801182,0.019544282898527526
46,0.01,0.010285777430789064,0.01
47,0.01009403340067604,0.012895545842294236,0.01
48,0.01009403340067604,0.012895545842294236,0.016947601203090808
49,0.01009403340067604,0.01,0.017288733828431997
50,0.01009403340067604,0.01,0.011619123599342958
51,0.01009403340067604,0.012631050993821577,0.014453928713887478
52,0.011048679276274807,0.019241250562225625,0.016414328535861205
53,0.013068595673521808,0.020304252623606266,0.016414328535861205
54,0.01,0.020304252623606266,0.016414328535861205
55,0.01,0.020304252623606266,0.017337755965061263
56,0.01,0.020304252623606266,0.016234256234550333
57,0.01,0.020304252623606266,0.018377788833613153
58,0.01,0.020304252623606266,0.018377788833613153
59,0.01,0.020304252623606266,0.018377788833613153
60,0.01,0.020304252623606266,0.01
61,0.0103465420829829,0.01195784700411696,0.01
62,0.0103465420829829,0.01613104981386161,0.01
63,0.010378450196168612,0.01613104981386161,0.010603006096061305
64,0.010378450196168612,0.01613104981386161,0.01167504068395826
65,0.01,0.01613104981386161,0.01167504068395826
66,0.01,0.01613104981386161,0.016102834516941132
67,0.01,0.01613104981386161,0.015071382956048618
68,0.01,0.01613104981386161,0.01
69,0.01,0.01613104981386161,0.011948877180483758
70,0.01,0.01613104981386161,0.013026243362395062
71,0.01025175834027544,0.018178345029660543,0.01
72,0.01025175834027544,0.016325010150637483,0.011061797020863412
73,0.01279223728402915,0.01,0.01395900207731143
74,0.01279223728402915,0.01155830149972014,0.015527044787975718
75,0.01333772652489922,0.01155830149972014,0.015527044787975718
76,0.01333772652489922,0.01155830149972014,0.015500721578503244
77,0.01333772652489922,0.01,0.01218913263322053
78,0.015560900440978251,0.01,0.01
79,0.01,0.01,0.01
80,0.01,0.01,0.01
81,0.01,0.01,0.01
82,0.01,0.01,0.01
83,0.01,0.01097947106682744,0.01
84,0.01,0.015080764297412891,0.01
85,0.01,0.015080764297412891,0.01
86,0.012777517167641094,0.015080764297412891,0.01
87,0.01350262863369752,0.017014762395873965,0.01
88,0.01632810905002974,0.017014762395873965,0.01
89,0.01632810905002974,0.01836024317152813,0.01
90,0.01009129230105476,0.01836024317152813,0.01
91,0.010379809072373625,0.01836024317152813,0.01
92,0.014365586625398157,0.01836024317152813,0.01
93,0.014864451596773765,0.01,0.01
94,0.014864451596773765,0.013314693378002717,0.01
95,0.014864451596773765,0.013662049527648424,0.01
96,0.014864451596773765,0.016397976817020467,0.01
97,0.014864451596773765,0.016397976817020467,0.01
98,0.014864451596773765,0.018167237006017023,0.01
99,0.018613299727776,0.01,0.01
100,0.019000047746679863,0.01,0.01
101,0.019000047746679863,0.010054981745686548,0.01
102,0.019000047746679863,0.01,0.01
103,0.019000047746679863,0.01,0.01
104,0.019000047746679863,0.01121071573424775,0.01
105,0.019000047746679863,0.01,0.01
106,0.019000047746679863,0.01,0.01
107,0.019000047746679863,0.01,0.01
108,0.013613549950232604,0.01027042643483222,0.01
109,0.016306798848456237,0.01027042643483222,0.01
110,0.02027763844100846,0.01027042643483222,0.01
111,0.01673900021883415,0.01027042643483222,0.01
112,0.018508319329921304,0.01209112284220638,0.01
113,0.01,0.01209112284220638,0.010173031273736187
114,0.01,0.01,0.011110348769238922
115,0.01,0.01,0.011110348769238922
116,0.011315544082616496,0.011469479317340743,0.011110348769238922
117,0.01235323032167053,0.012348941487371156,0.011110348769238922
118,0.01235323032167053,0.012348941487371156,0.011110348769238922
119,0.01,0.012348941487371156,0.011110348769238922
120,0.01,0.01,0.011110348769238922
121,0.01,0.010839692245158166,0.012113461826651769
122,0.01,0.01141257845153914,0.012113461826651769
123,0.01,0.01260022131681892,0.016060155572028913
124,0.01,0.01260022131681892,0.016060155572028913
125,0.01,0.013431457737105528,0.017307806743525903
126,0.01,0.0161908602970312,0.018925064859018792
127,0.01,0.015477719782877042,0.01
128,0.01,0.01655761407291103,0.01436894008487342
129,0.01019568434627989,0.01964020709277363,0.01727208406342274
130,0.01,0.01964020709277363,0.01727208406342274
131,0.01333886062293485,0.01964020709277363,0.01727208406342274
132,0.01333886062293485,0.01,0.01727208406342274
133,0.01333886062293485,0.010699147670758302,0.01727208406342274
134,0.018554956720568266,0.01,0.01727208406342274
135,0.018554956720568266,0.015856342570033505,0.012465931834014518
136,0.018554956720568266,0.015856342570033505,0.015610080013179276
137,0.019648963404926265,0.01549508979477184,0.01762776918431091
138,0.019648963404926265,0.015675716182402672,0.017826001115283787
139,0.019648963404926265,0.01853235393838741,0.017826001115283787
140,0.012770127938429285,0.020285590804088337,0.01873171511209247
141,0.017239212533125423,0.01956947613316467,0.02351735530818759
142,0.015492590681126472,0.019927533468626503,0.02351735530818759
143,0.01636590160712595,0.02202021798672932,0.017562680488012797
144,0.018725389272022323,0.02202021798672932,0.020540017898100192
145,0.018757771570184923,0.015340637095822203,0.020540017898100192
146,0.01,0.01,0.0238321267742418
147,0.012222902579612652,0.011453019229151144,0.018596996350775177
148,0.01,0.014328981404058576,0.021214561562508488
149,0.01,0.014328981404058576,0.01
150,0.01,0.015978099579840355,0.01225060325881048
151,0.013152315577380492,0.015978099579840355,0.01335272108436584
152,0.01,0.0173158944962469,0.012028125538189927
153,0.010401709842162123,0.0173158944962469,0.012690423311277885
154,0.010401709842162123,0.019638782872665763,0.01663382200148069
155,0.011930740070301208,0.020545896458985257,0.01135976019634632
156,0.011930740070301208,0.02301085395542789,0.013996791098913504
157,0.013602020706935612,0.02301085395542789,0.013996791098913504
158,0.013602020706935612,0.01,0.013996791098913504
159,0.01,0.011810418302748628,0.014566425701079522
160,0.01,0.014324512856163185,0.014566425701079522
161,0.01,0.014324512856163185,0.014566425701079522
162,0.01,0.01,0.010459341800991407
163,0.01,0.010929655082009613,0.012512883751035464
164,0.01,0.01,0.014041981257008942
165,0.01,0.01,0.01
166,0.01,0.01247012491356497,0.01153191408366508
167,0.01,0.01,0.011861951830122026
168,0.01,0.01537614982496228,0.013124051915423084
169,0.011116138473451258,0.01537614982496228,0.013124051915423084
170,0.01,0.01537614982496228,0.013124051915423084
171,0.010003394732205895,0.01537614982496228,0.013124051915423084
172,0.010065821633990803,0.01,0.013124051915423084
173,0.010065821633990803,0.01,0.013124051915423084
174,0.012060388967580623,0.01,0.020792565832673676
175,0.013699389837398553,0.01,0.02156555508999109
176,0.01,0.01,0.02156555508999109
177,0.01,0.010282212876537522,0.019860510870577903
178,0.01,0.010282212876537522,0.0207130329802845
179,0.01,0.010282212876537522,0.0207130329802845
180,0.01,0.010282212876537522,0.013118530203689697
181,0.01,0.01,0.016915781591987096
182,0.01,0.01,0.016915781591987096
183,0.01,0.01,0.01962190135440087
184,0.011378766807806154,0.01,0.023073829361109868
185,0.01,0.01,0.015191724221664808
186,0.01,0.01,0.017715866403553708
187,0.01,0.01,0.018424321597470525
188,0.01,0.01,0.019965634251753347
189,0.01,0.013403997994837404,0.019965634251753347
190,0.01,0.013403997994837404,0.013601042864381978
191,0.01,0.013403997994837404,0.01954273574717346
192,0.01,0.013403997994837404,0.01954273574717346
193,0.01,0.013403997994837404,0.01954273574717346
194,0.01,0.013403997994837404,0.014043994274027437
195,0.01,0.013403997994837404,0.01679336501060045
196,0.01,0.013403997994837404,0.01679336501060045
197,0.01,0.013403997994837404,0.01679336501060045
198,0.01,0.01433764064315813,0.01679336501060045
199,0.01,0.01453521544291949,0.01679336501060045
200,0.01,0.014633539607469217,0.012226595393392168
201,0.01,0.014633539607469217,0.014509980201996307
202,0.01,0.015204716375746037,0.014509980201996307
203,0.01,0.017823785590628752,0.01
204,0.01,0.017823785590628752,0.01350328383402778
205,0.01,0.018689705155233553,0.01
206,0.01,0.021879557384073933,0.01
207,0.01,0.01,0.01
208,0.01,0.011802797888071944,0.010275321561454453
209,0.01,0.011802797888071944,0.01
210,0.01,0.011802357602525616,0.01
211,0.01,0.013198128053990664,0.010625684049821914
212,0.01,0.015317529402192184,0.011883479358731928
213,0.01,0.015317529402192184,0.011883479358731928
214,0.01,0.015317529402192184,0.011883479358731928
215,0.01,0.016410588743202253,0.01574994893604345
216,0.01,0.016410588743202253,0.012601964066227603
217,0.01,0.017870428191523964,0.014175956501135527
218,0.01,0.018008846425957552,0.01446686938774895
219,0.010914491552645086,0.018008846425957552,0.01446686938774895
220,0.010914491552645086,0.018008846425957552,0.014549858737192271
221,0.010914491552645086,0.018008846425957552,0.01579166346506304
222,0.010914491552645086,0.01445719643274955,0.01579166346506304
223,0.011490890118284806,0.016257118615257776,0.01579166346506304
224,0.011490890118284806,0.016257118615257776,0.015813349110307788
225,0.011490890118284806,0.01877722751612755,0.015949585539332782
226,0.011490890118284806,0.016523557840451723,0.01
227,0.01117350837847604,0.019837262727660107,0.014944860989248266
228,0.01570465422343454,0.019837262727660107,0.017678837946498615
229,0.011907570609328962,0.019837262727660107,0.0181092236063694
