step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/pg_loss_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-actor/pg_loss_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-actor/pg_loss_step
1,0.14483358385582823,0.132665769214306,0.1430259750244501
2,0.13528101430838985,0.14932764236453092,0.1435857163686623
3,0.13945103317529,0.1464679169264855,0.1270560055510776
4,0.16981798035866116,0.14556408147261612,0.1472343818987124
5,0.15531171167224386,0.13614408526248042,0.15033095975282423
6,0.1474811490445782,0.15537272215527104,0.14960820477625186
7,0.15493953809238475,0.16114304474688018,0.15570666230632924
8,0.19924541542766544,0.19142582493165988,0.17312051558222336
9,0.2035348309887013,0.2200599723431823,0.1909351946548365
10,0.17960391329819914,0.203221707329497,0.1770198767724131
11,0.20489356190098207,0.21356942105849155,0.22404992723258568
12,0.17211347622452938,0.1845544853892231,0.1972943983059996
13,0.1144962335079874,0.170250815278407,0.19470436512378927
14,0.028960244729741805,0.16089531278189764,0.19055100612691608
15,0.024557916566801865,0.07587473175122536,0.1929094575477749
16,0.03416844010511837,0.01921304800094667,0.13323737099149183
17,0.04930943038759021,0.05852160688785564,0.17903714648012906
18,0.04430989561979004,0.04086717112593098,0.1456970472987878
19,0.034709165483456254,0.024852287384722633,0.14567693946184973
20,0.026243927686604423,0.03991068249142233,0.12997082753859374
21,0.038900743592351385,0.05970975421162923,0.11062951791100206
22,0.024259889653306915,0.05975293796618877,0.09013194290261406
23,0.05273278940772538,0.05814969559483311,0.05781071165665708
24,0.03874648093655456,0.07535707431200606,0.07343725063689513
25,0.053195758288105334,0.04664357504689078,0.08492865850166709
26,0.043980747251286326,0.07521572829712005,0.08067612629630883
27,0.0347962709111551,0.051321834975533415,0.07638048634132301
28,0.04960286445793827,0.05139396576643257,0.09058000523994757
29,0.08804433914610854,0.062033859882060255,0.09043185159607676
30,0.06510875901471991,0.09191713905765936,0.08525460401142482
31,0.06134249747465754,0.07087252468166601,0.10207211491263782
32,0.08074906288311468,0.0733576259245865,0.1139921727230745
33,0.05596027055049918,0.06880243988780421,0.08416241742997954
34,0.0454096502138588,0.08100288387254295,0.05143513111352149
35,0.05649024233849452,0.0676625260601213,0.08655836564096664
36,0.08952451007197644,0.10523893808605114,0.12729645456762656
37,0.05991653658394867,0.07496127492231608,0.061032622291653155
38,0.05816809944928322,0.03765768383746035,0.07382076388651816
39,0.07447627628466257,0.08043226469999354,0.09294780069681711
40,0.07183034605178465,0.06138821695776642,0.09871045790126064
41,0.07011466239821043,0.04599620533709265,0.06806465786088303
42,0.07723926875925763,0.07901486723039852,0.09905917917528904
43,0.1005440353948966,0.08585854425858569,0.07637605831234182
44,0.07963758114136807,0.061713354934681774,0.10023431665424998
45,0.07971413766254523,0.07694392400403588,0.06724972299020414
46,0.0444325392150276,0.06271639736014999,0.06186151656575422
47,0.07423577291238972,0.06685554355317436,0.07534459197512916
48,0.06132656127697878,0.0492926153193063,0.08424831481191658
49,0.06412372803992146,0.06616076782665914,0.08355670058327495
50,0.05923019578239844,0.047199657086700125,0.060997651627129765
51,0.07736218445694439,0.09706122680654516,0.09868793401774324
52,0.08030177447007089,0.06353812157321954,0.07987627758134919
53,0.056523975267362615,0.07176039806936388,0.09188978118575453
54,0.06638344229854978,0.05512571716783843,0.07326842897681571
55,0.07407289015504323,0.04846532834108075,0.09312748711692108
56,0.07444318506006514,0.06392203861105372,
57,0.0704984705966233,0.08201016995190002,
58,0.06498089187763598,0.04670757961182115,
59,0.0507562755052564,0.05111557700777613,
