step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/alpha_t_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/alpha_t_step
1,1e-07,1.0000000000000002e-06
2,1e-07,1.0000000000000002e-06
3,2e-07,2.0000000000000003e-06
4,3e-07,3e-06
5,4e-07,4.000000000000001e-06
6,5e-07,4.9999999999999996e-06
7,6e-07,6e-06
8,7e-07,7e-06
9,8e-07,8.000000000000001e-06
10,9e-07,9e-06
11,1e-06,1e-05
12,1e-06,1e-05
13,9.409340661502639e-07,9.792696309258542e-06
14,8.990422515954141e-07,9.600279924676762e-06
15,8.492514097606143e-07,9.40041988701514e-06
16,7.990018796808193e-07,6.799999999999999e-06
17,7.901648088193513e-07,6.371553183690126e-06
18,5.194014975031219e-07,6.082238031029161e-06
19,6.057043289742441e-07,5.4292777028673554e-06
20,5.742451105752078e-07,4.776317374705549e-06
21,5.210257493971086e-07,4.820862920245509e-06
22,5.67431431448362e-07,4.173027569051492e-06
23,5.767857319271242e-07,1.9659039806144205e-06
24,5.896454450163901e-07,2.9280420976152745e-06
25,4.59021484895479e-07,2.9280420976152745e-06
26,5.459229752132681e-07,3.145432814477631e-06
27,5.459229752132681e-07,3.3873836018520877e-06
28,7.295030689270489e-07,3.3873836018520877e-06
29,7.321133090029269e-07,1.9659039806144205e-06
30,4.891137714811741e-07,2.2575232520743124e-06
31,6.106135402420505e-07,2.8362236537449606e-06
32,6.601102743442288e-07,2.8362236537449606e-06
33,4.784686473543586e-07,1.9659039806144205e-06
34,6.374924842370102e-07,2.6946114981308873e-06
35,6.405891031873799e-07,2.8823932628518573e-06
36,1.9900249583853649e-07,2.744803511436932e-06
37,1.9900249583853649e-07,1.9659039806144205e-06
38,2.425544874078816e-07,1.9659039806144205e-06
39,2.597646052951042e-07,2.278096230872628e-06
40,1.9900249583853649e-07,2.278096230872628e-06
41,2.3093311005526527e-07,2.278096230872628e-06
42,3.4840278575736235e-07,2.016678905294616e-06
43,3.509122872040146e-07,2.6025306935254767e-06
44,3.509122872040146e-07,2.6025306935254767e-06
45,3.786756850310283e-07,2.782858806753687e-06
46,1.9900249583853649e-07,2.8391339415821236e-06
47,3.793976744116092e-07,2.8391339415821236e-06
48,4.498076597899547e-07,2.8391339415821236e-06
49,1.9900249583853649e-07,1.926060414143912e-06
50,3.1291733829718395e-07,1.926060414143912e-06
51,3.1291733829718395e-07,1.9736322024686995e-06
52,3.1291733829718395e-07,1.9736322024686995e-06
53,1.9900249583853649e-07,2.464033560215233e-06
54,2.1463133178512373e-07,2.464033560215233e-06
55,2.1463133178512373e-07,2.5601967596602675e-06
56,2.271668500469597e-07,2.5601967596602675e-06
57,2.271668500469597e-07,1.881461240574646e-06
58,2.271668500469597e-07,2.0560269145360206e-06
59,2.271668500469597e-07,2.2337639995479978e-06
60,2.9960087666195996e-07,1.881461240574646e-06
61,2.05217284856929e-07,1.881461240574646e-06
62,2.5243592319994185e-07,1.881461240574646e-06
63,2.5243592319994185e-07,2.4709865700310445e-06
64,2.3011469768624442e-07,1.881461240574646e-06
65,2.4127531044309313e-07,1.881461240574646e-06
66,2.425647338650587e-07,1.881461240574646e-06
67,2.7156322408524066e-07,1.881461240574646e-06
68,3.1830719008103095e-07,1.881461240574646e-06
69,3.706293873759197e-07,1.881461240574646e-06
70,3.881291071587038e-07,2.660604183588746e-06
71,4.028083484652158e-07,2.7731402861387732e-06
72,3.97387107198958e-07,2.701737812913262e-06
73,3.4267402326889137e-07,2.7926764947375815e-06
74,2.728318666633938e-07,2.7926764947375815e-06
75,3.98212112310797e-07,2.7926764947375815e-06
76,3.98212112310797e-07,2.7926764947375815e-06
77,2.6823084039011324e-07,3.4690854134557858e-06
78,2.1600660991211445e-07,3.675306001766803e-06
79,3.301203536187839e-07,3.675306001766803e-06
80,4.125710183993685e-07,3.675306001766803e-06
81,1.944679497196744e-07,3.7644881689199675e-06
82,1.944679497196744e-07,2.8205151747533e-06
83,1.944679497196744e-07,3.2357244170233546e-06
84,2.733013740601044e-07,2.934383515732004e-06
85,2.733013740601044e-07,1.7278156151793404e-06
86,3.104325166529256e-07,2.5671478412540215e-06
87,3.5896062302132794e-07,3.1448645646436433e-06
88,4.066664314163448e-07,3.1448645646436433e-06
89,5.226228119321453e-07,3.1448645646436433e-06
90,1.9115265822791642e-07,3.1448645646436433e-06
91,1.9115265822791642e-07,3.1448645646436433e-06
92,2.4265828765595307e-07,1.6724537886183092e-06
93,1.9115265822791642e-07,1.6724537886183092e-06
94,1.9115265822791642e-07,1.6724537886183092e-06
95,,1.7730573769997218e-06
96,,1.6724537886183092e-06
97,,1.6724537886183092e-06
98,,1.6724537886183092e-06
99,,2.0408922002120258e-06
100,,1.6724537886183092e-06
101,,1.9786854268531838e-06
102,,1.9786854268531838e-06
103,,1.9786854268531838e-06
104,,1.9786854268531838e-06
105,,2.251217785751668e-06
106,,1.6724537886183092e-06
107,,1.8621219105999693e-06
108,,1.6724537886183092e-06
109,,1.7133111250150293e-06
110,,1.792435681426327e-06
111,,2.2461170682230048e-06
112,,2.384117077601826e-06
113,,2.384117077601826e-06
114,,2.10850400484012e-06
115,,2.3668555474886075e-06
116,,2.6396009679808382e-06
117,,2.6396009679808382e-06
118,,2.9705722131074587e-06
119,,2.9705722131074587e-06
120,,3.4637422569243543e-06
121,,1.6724537886183092e-06
122,,1.8627229168606599e-06
123,,2.2455336546481986e-06
124,,2.569971528733413e-06
125,,2.569971528733413e-06
126,,3.2605974335483938e-06
127,,3.790909196092099e-06
128,,1.6724537886183092e-06
