step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/r_hat_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/r_hat_step
1,0.04525027222215268,0.05
2,0.05001741065556602,0.043829817207633584
3,0.03979431719374754,0.038183889126333886
4,0.034808858501247104,0.038183889126333886
5,0.02592898853480393,0.04036105257306857
6,0.02592898853480393,0.041613076057212976
7,0.02859511594614971,0.033691283200502506
8,0.025811264593829108,0.03629965093403668
9,0.025811264593829108,0.027159128576851575
10,0.02390650431364867,0.027159128576851575
11,0.0250065190623599,0.04037120349033519
12,0.02046703307513197,0.039634815462927096
13,0.02046703307513197,0.039634815462927096
14,0.024760562898853568,0.04000699811691902
15,0.02487523496010241,0.04000699811691902
16,0.02487523496010241,0.02098843534691809
17,0.029161926597622245,0.01735198359190968
18,0.01682326840278172,0.01735198359190968
19,0.02194547702143119,0.01735198359190968
20,0.023507563874905935,0.01735198359190968
21,0.023507563874905935,0.02122701622358616
22,0.02851378466673884,0.02122701622358616
23,0.028983844121990697,0.014302429714309882
24,0.02963005275545928,0.014894125687156649
25,0.026348084869315412,0.014894125687156649
26,0.02743297127570755,0.015999931052047427
27,0.02743297127570755,0.017230666580131754
28,0.03665798591385215,0.017230666580131754
29,0.03678915211178746,0.009957477029148915
30,0.030683712667477325,0.011483385121224227
31,0.030683712667477325,0.014427071116965395
32,0.033170954543194214,0.014427071116965395
33,0.0286071518073419,0.010289273634111857
34,0.03203439643059799,0.01370672995579732
35,0.03219000347147059,0.01466192291828515
36,0.018996123732090916,0.01431198275647744
37,0.01218851484177775,0.009745830918691188
38,0.01218851484177775,0.009745830918691188
39,0.013053334039884,0.011588034071535048
40,0.01048272405589541,0.011588034071535048
41,0.011604533354327182,0.011588034071535048
42,0.01750745809942223,0.011029260152975198
43,0.017633562118172248,0.013512196577085252
44,0.017633562118172248,0.013512196577085252
45,0.01902869024005972,0.01444845024755156
46,0.013958264608985898,0.014740627660135217
47,0.019064970658430283,0.014740627660135217
48,0.022603116503368513,0.014740627660135217
49,0.015724292149133345,0.00792296783714492
50,0.015724292149133345,0.00792296783714492
51,0.015724292149133345,0.010246990115031942
52,0.015724292149133345,0.010246990115031942
53,0.009765767857058617,0.01279312705936297
54,0.010785358790638886,0.01279312705936297
55,0.010785358790638886,0.0132924011150409
56,0.011415276431069226,0.0132924011150409
57,0.011415276431069226,0.009243428542640117
58,0.011415276431069226,0.01092781966588936
59,0.011415276431069226,0.01187249543799132
60,0.015055131615286144,0.006259826428446492
61,0.012683714327092673,0.009974160306420458
62,0.012685063176532186,0.009974160306420458
63,0.012685063176532186,0.01313333762473014
64,0.012124235398477382,0.008887036017654207
65,0.012124235398477382,0.00924875537175012
66,0.01218902973266562,0.00924875537175012
67,0.013776478870122727,0.007879141989385153
68,0.016147813435088,0.007879141989385153
69,0.01880213324550965,0.007879141989385153
70,0.019689898960593807,0.014141158617629188
71,0.02043458100791373,0.014739290006802295
72,0.02043458100791373,0.014739290006802295
73,0.01902784318790443,0.015235404617864295
74,0.016528750182845168,0.015235404617864295
75,0.020477004713878037,0.015235404617864295
76,0.020477004713878037,0.015235404617864295
77,0.017135033142005866,0.019472226077031928
78,0.01412130088927975,0.020629757079801463
79,0.01697556610714786,0.020629757079801463
80,0.021215373484118574,0.020629757079801463
81,0.014077575359870923,0.02113034300199015
82,0.007446620885895318,0.018727255319355932
83,0.007446620885895318,0.018727255319355932
84,0.014053800353943586,0.017855226791994604
85,0.014053800353943586,0.012205215067464425
86,0.015963171160101916,0.01485776502249959
87,0.01877874084248044,0.01820138987641467
88,0.021274432445059985,0.01820138987641467
89,0.027340598701432028,0.01820138987641467
90,0.016386630159888296,0.01820138987641467
91,0.011801156370876906,0.01820138987641467
92,0.01269447623200851,0.01231583149787255
93,,0.007454401528433628
94,,0.007454401528433628
95,,0.01060153284393302
96,,0.006456038365630812
97,,0.006456038365630812
98,,0.009114478303007831
99,,0.012202981117332395
100,,0.010322066904520998
101,,0.011831031986168456
102,,0.011831031986168456
103,,0.011831031986168456
104,,0.011831031986168456
105,,0.01346056794556639
106,,0.011134070927833252
107,,0.011134070927833252
108,,0.009934720171641154
109,,0.010244295756778276
110,,0.010717400346870812
111,,0.01343006953919262
112,,0.014255204501473577
113,,0.014255204501473577
114,,0.01343122636038125
115,,0.014151993696901935
116,,0.015782803602373573
117,,0.015782803602373573
118,,0.017761759597325465
119,,0.017761759597325465
120,,0.020710540886070824
121,,0.01113766448757631
122,,0.01113766448757631
123,,0.01342658117031345
124,,0.015366472581921585
125,,0.015366472581921585
126,,0.019495889547071567
127,,0.02266675002855501
128,,0.01291870063361886
129,,0.01291870063361886
130,,0.01291870063361886
131,,0.01291870063361886
132,,0.013750921658233283
133,,0.01385052233566066
134,,0.00993061303237422
135,,0.00993061303237422
136,,0.011817230537844304
