step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/phi_bar_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/phi_bar_step
1,0.45,0.45
2,0.45,0.45
3,0.45,0.45
4,0.45,0.45
5,0.45,0.45
6,0.405,0.405
7,0.405,0.405
8,0.405,0.405
9,0.405,0.405
10,0.405,0.405
11,0.3645000000000001,0.3645000000000001
12,0.5,0.3645000000000001
13,0.5,0.3645000000000001
14,0.5,0.3645000000000001
15,0.5,0.3645000000000001
16,0.45,0.3645000000000001
17,0.45,0.3645000000000001
18,0.45,0.3645000000000001
19,0.45,0.3645000000000001
20,0.45,0.3645000000000001
21,0.45,0.32805000000000006
22,0.45,0.32805000000000006
23,0.45,0.32805000000000006
24,0.45,0.32805000000000006
25,0.45,0.32805000000000006
26,0.45,0.32805000000000006
27,0.45,0.32805000000000006
28,0.45,0.32805000000000006
29,0.45,0.32805000000000006
30,0.45,0.32805000000000006
31,0.45,0.32805000000000006
32,0.45,0.32805000000000006
33,0.45,0.32805000000000006
34,0.45,0.32805000000000006
35,0.45,0.32805000000000006
36,0.45,0.32805000000000006
37,0.45,0.32805000000000006
38,0.45,0.32805000000000006
39,0.45,0.32805000000000006
40,0.45,0.32805000000000006
41,0.45,0.2952450000000001
42,0.45,0.2952450000000001
43,0.45,0.2952450000000001
44,0.45,0.2952450000000001
45,0.45,0.2952450000000001
46,0.45,0.2952450000000001
47,0.45,0.2952450000000001
48,0.45,0.2952450000000001
49,0.45,0.2952450000000001
50,0.45,0.2952450000000001
51,0.45,0.2952450000000001
52,0.45,0.2952450000000001
53,0.45,0.2952450000000001
54,0.45,0.2952450000000001
55,0.45,0.2952450000000001
56,0.45,0.2657205000000001
57,0.45,0.2657205000000001
58,0.45,0.2657205000000001
59,0.45,0.2657205000000001
60,0.45,0.2657205000000001
61,0.45,0.2657205000000001
62,0.45,0.2657205000000001
63,0.45,0.2657205000000001
64,0.45,0.2657205000000001
65,0.45,0.2657205000000001
66,0.405,0.2657205000000001
67,0.405,0.2657205000000001
68,0.405,0.2657205000000001
69,0.405,0.2657205000000001
70,0.405,0.2657205000000001
71,0.3645000000000001,0.23914845000000007
72,0.3645000000000001,0.23914845000000007
73,0.3645000000000001,0.23914845000000007
74,0.3645000000000001,0.23914845000000007
75,0.3645000000000001,0.23914845000000007
76,0.3645000000000001,0.21523360500000008
77,0.3645000000000001,0.21523360500000008
78,0.3645000000000001,0.21523360500000008
79,0.3645000000000001,0.21523360500000008
80,0.3645000000000001,0.21523360500000008
81,0.3645000000000001,0.19371024450000007
82,0.3645000000000001,0.19371024450000007
83,0.3645000000000001,0.19371024450000007
84,0.3645000000000001,0.19371024450000007
85,0.3645000000000001,0.19371024450000007
86,0.32805000000000006,0.19371024450000007
87,0.32805000000000006,0.19371024450000007
88,0.32805000000000006,0.19371024450000007
89,0.32805000000000006,0.19371024450000007
90,0.32805000000000006,0.19371024450000007
91,0.32805000000000006,0.17433922005000008
92,0.32805000000000006,0.17433922005000008
93,0.32805000000000006,0.17433922005000008
94,0.32805000000000006,0.17433922005000008
95,0.32805000000000006,0.17433922005000008
96,0.32805000000000006,0.17433922005000008
97,0.32805000000000006,0.17433922005000008
98,0.32805000000000006,0.17433922005000008
99,0.32805000000000006,0.17433922005000008
100,0.32805000000000006,0.17433922005000008
101,0.2952450000000001,0.17433922005000008
102,0.2952450000000001,0.17433922005000008
103,0.2952450000000001,0.17433922005000008
104,0.2952450000000001,0.17433922005000008
105,0.2952450000000001,0.17433922005000008
106,0.2657205000000001,0.17433922005000008
107,0.2657205000000001,0.17433922005000008
108,0.2657205000000001,0.17433922005000008
109,0.2657205000000001,0.17433922005000008
110,,0.17433922005000008
111,,0.17433922005000008
112,,0.17433922005000008
113,,0.17433922005000008
114,,0.17433922005000008
115,,0.17433922005000008
116,,0.17433922005000008
117,,0.17433922005000008
118,,0.17433922005000008
119,,0.17433922005000008
120,,0.17433922005000008
121,,0.17433922005000008
122,,0.17433922005000008
123,,0.17433922005000008
124,,0.17433922005000008
125,,0.17433922005000008
126,,0.17433922005000008
127,,0.17433922005000008
128,,0.17433922005000008
129,,0.17433922005000008
130,,0.17433922005000008
131,,0.17433922005000008
132,,0.17433922005000008
133,,0.17433922005000008
134,,0.17433922005000008
135,,0.17433922005000008
136,,0.17433922005000008
137,,0.17433922005000008
138,,0.17433922005000008
139,,0.17433922005000008
140,,0.17433922005000008
141,,0.17433922005000008
142,,0.17433922005000008
143,,0.17433922005000008
144,,0.17433922005000008
145,,0.17433922005000008
146,,0.15690529804500009
147,,0.15690529804500009
148,,0.15690529804500009
149,,0.15690529804500009
150,,0.15690529804500009
151,,0.15690529804500009
152,,0.15690529804500009
153,,0.15690529804500009
154,,0.15690529804500009
155,,0.15690529804500009
156,,0.15690529804500009
157,,0.15690529804500009
158,,0.15690529804500009
159,,0.15690529804500009
