step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/entropy_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/entropy_step
1,0.6741302609443665,0.6729905605316162
2,0.6737073659896851,0.6715920567512512
3,0.6812224984169006,0.677854061126709
4,0.6655775308609009,0.6635322570800781
5,0.6886152625083923,0.6857377886772156
6,0.6469959616661072,0.6261714696884155
7,0.6612837314605713,0.6463703513145447
8,0.6790423393249512,0.6383581757545471
9,0.6851446032524109,0.6397199034690857
10,0.651312530040741,0.5839052200317383
11,0.6587396860122681,0.565285861492157
12,0.672985851764679,0.5525680780410767
13,0.6252440214157104,0.51319420337677
14,0.6362183690071106,0.4997402727603912
15,0.6794119477272034,0.5145536661148071
16,0.6631874442100525,0.49400097131729126
17,0.6539484858512878,0.4578052461147308
18,0.6338931322097778,0.45024824142456055
19,0.6666069030761719,0.44300124049186707
20,0.6832138299942017,0.46640273928642273
21,0.6811030507087708,0.4626522362232208
22,0.6306582093238831,0.4581718146800995
23,0.6683297157287598,0.4661856591701507
24,0.662987470626831,0.4587364196777344
25,0.6241872310638428,0.4504821598529816
26,0.6371937394142151,0.4595711827278137
27,0.6637647151947021,0.4562993347644806
28,0.6592815518379211,0.46816807985305786
29,0.657001793384552,0.4516449570655823
30,0.6117274165153503,0.4501205980777741
31,0.6398757696151733,0.4696069061756134
32,0.6466597318649292,0.45131373405456543
33,0.6374046206474304,0.4669148027896881
34,0.6544578671455383,0.46886834502220154
35,0.6494189500808716,0.4493889510631562
36,0.6640452742576599,0.47688552737236023
37,0.6192874312400818,0.4565008580684662
38,0.6682965755462646,0.468651682138443
39,0.6720507740974426,0.47941160202026367
40,0.6384715437889099,0.4554244577884674
41,0.6741668581962585,0.4901125133037567
42,0.6371894478797913,0.4767453670501709
43,0.6264108419418335,0.4664076864719391
44,0.6270384788513184,0.4858393371105194
45,0.6506600379943848,0.4944092929363251
46,0.6462084054946899,0.4933634400367737
47,0.6377609372138977,0.48244181275367737
48,0.6474292278289795,0.49952006340026855
49,0.641288697719574,0.4823530912399292
50,0.6402537822723389,0.4834517240524292
51,0.5888318419456482,0.4687187671661377
52,0.595325231552124,0.471886545419693
53,0.6327484846115112,0.4818825125694275
54,0.6651970148086548,0.4975112378597259
55,0.6363920569419861,0.5057960748672485
56,0.6535302400588989,0.510734498500824
57,0.643245279788971,0.4938229024410248
58,0.6423614025115967,0.4825682640075683
59,0.6106491088867188,0.4785166978836059
60,0.690406858921051,0.5186217427253723
61,0.638565182685852,0.49965301156044006
62,0.6692480444908142,0.5011937618255615
63,0.6044557094573975,0.4875475764274597
64,0.6540013551712036,0.5084682106971741
65,0.62456214427948,0.48640722036361694
66,0.6097924113273621,0.4946398138999939
67,0.6562679409980774,0.5062595009803772
68,0.5952008962631226,0.46994537115097046
69,0.6018664240837097,0.467478483915329
70,0.6281731128692627,0.4887502491474152
71,0.6199485063552856,0.5017480850219727
72,0.6656637787818909,0.5213910937309265
73,0.6439803838729858,0.4820416271686554
74,0.6078602075576782,0.4812553226947784
75,0.6100668907165527,0.4757646322250366
76,0.6594659686088562,0.5121877193450928
77,0.6306616067886353,0.4719022214412689
78,0.6204874515533447,0.4884154796600342
79,0.6355711817741394,0.4939223229885102
80,0.5911258459091187,0.4883001148700714
81,0.6188833713531494,0.4895942807197571
82,0.6448395252227783,0.5005881190299988
83,0.6253283023834229,0.4966123402118683
84,0.638936460018158,0.4849076569080353
85,0.6260904669761658,0.49169647693634033
86,0.6235463619232178,0.47881361842155457
87,0.6170124411582947,0.47594550251960754
88,0.6165175437927246,0.47237852215766907
89,0.615986168384552,0.47406241297721863
90,0.5929718613624573,0.4756111800670624
91,,0.4895666539669037
92,,0.48219192028045654
93,,0.4896818995475769
94,,0.4951210916042328
95,,0.4667322039604187
96,,0.4541644155979157
97,,0.48799097537994385
98,,0.4884389340877533
99,,0.4725317358970642
100,,0.4788569509983063
101,,0.4697030782699585
102,,0.4850248396396637
103,,0.4520327150821686
104,,0.48333102464675903
105,,0.4818364083766937
106,,0.47390857338905334
107,,0.4817512631416321
108,,0.4678296148777008
109,,0.4577479660511017
110,,0.4755835235118866
111,,0.48089659214019775
112,,0.4705631136894226
113,,0.4935372471809387
114,,0.4792509973049164
115,,0.4841897487640381
116,,0.4977495074272156
117,,0.47686266899108887
118,,0.5004238486289978
119,,0.4953178465366363
120,,0.4893178343772888
121,,0.5063082575798035
122,,0.4863430857658386
123,,0.4995052218437195
124,,0.4989848732948303
125,,0.5101937651634216
126,,0.5169760584831238
127,,0.5131796598434448
128,,0.5173162221908569
129,,0.5277939438819885
130,,0.5429078340530396
131,,0.5469076633453369
132,,0.5359944701194763
133,,0.5226830244064331
