step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/c_t_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/c_t_step
1,9.950124791926825e-07,9.950124791926822e-06
2,9.950124791926825e-07,9.950124791926822e-06
3,9.950124791926825e-07,9.950124791926822e-06
4,9.950124791926825e-07,9.950124791926822e-06
5,9.950124791926825e-07,9.950124791926822e-06
6,9.856046187323823e-07,9.856046187323822e-06
7,9.856046187323823e-07,9.856046187323822e-06
8,9.856046187323823e-07,9.856046187323822e-06
9,9.856046187323823e-07,9.856046187323822e-06
10,9.856046187323823e-07,9.856046187323822e-06
11,9.723397485983718e-07,9.72339748598372e-06
12,2e-05,0.0002
13,2e-05,0.0002
14,2e-05,0.0002
15,2e-05,0.0002
16,1.9900249583853645e-05,0.0002
17,1.9900249583853645e-05,0.0002
18,1.9900249583853645e-05,0.0002
19,1.9900249583853645e-05,0.0002
20,1.9900249583853645e-05,0.0002
21,1.9900249583853645e-05,0.00019659039806144208
22,1.9900249583853645e-05,0.00019659039806144208
23,1.9900249583853645e-05,0.00019659039806144208
24,1.9900249583853645e-05,0.00019659039806144208
25,1.9900249583853645e-05,0.00019659039806144208
26,1.9900249583853645e-05,0.00019659039806144208
27,1.9900249583853645e-05,0.00019659039806144208
28,1.9900249583853645e-05,0.00019659039806144208
29,1.9900249583853645e-05,0.00019659039806144208
30,1.9900249583853645e-05,0.00019659039806144208
31,1.9900249583853645e-05,0.00019659039806144208
32,1.9900249583853645e-05,0.00019659039806144208
33,1.9900249583853645e-05,0.00019659039806144208
34,1.9900249583853645e-05,0.00019659039806144208
35,1.9900249583853645e-05,0.00019659039806144208
36,1.9900249583853645e-05,0.00019659039806144208
37,1.9900249583853645e-05,0.00019659039806144208
38,1.9900249583853645e-05,0.00019659039806144208
39,1.9900249583853645e-05,0.00019659039806144208
40,1.9900249583853645e-05,0.00019659039806144208
41,1.9900249583853645e-05,0.0001926060414143912
42,1.9900249583853645e-05,0.0001926060414143912
43,1.9900249583853645e-05,0.0001926060414143912
44,1.9900249583853645e-05,0.0001926060414143912
45,1.9900249583853645e-05,0.0001926060414143912
46,1.9900249583853645e-05,0.0001926060414143912
47,1.9900249583853645e-05,0.0001926060414143912
48,1.9900249583853645e-05,0.0001926060414143912
49,1.9900249583853645e-05,0.0001926060414143912
50,1.9900249583853645e-05,0.0001926060414143912
51,1.9900249583853645e-05,0.0001926060414143912
52,1.9900249583853645e-05,0.0001926060414143912
53,1.9900249583853645e-05,0.0001926060414143912
54,1.9900249583853645e-05,0.0001926060414143912
55,1.9900249583853645e-05,0.0001926060414143912
