step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/pg_loss_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/pg_loss_step
1,0.18927136682171009,0.21543503158977675
2,0.132982604594828,0.14600160420772906
3,0.1433539596694343,0.14354227781101753
4,0.16707370952695613,0.15095948293496486
5,0.150911876528592,0.16671733535840758
6,0.20697415019265944,0.19650507488495048
7,0.14540329352085893,0.1502048619082035
8,0.15082721887388506,0.16494423256301308
9,0.1733522753437971,0.2250165922989202
10,0.15995852783888084,0.19974429822750311
11,0.21693511965986068,0.14320416778761158
12,0.12889927100501197,0.20928272737951675
13,0.1398725095117504,0.1778375889053374
14,0.12309212416086064,0.12339476631362534
15,0.16171521841120884,0.0734793955522876
16,0.18018903046834817,-0.0042663455086377755
17,0.14124963885113304,0.05452631859952816
18,0.14259279192709318,0.023703911110660003
19,0.14175084978896416,0.06104684773247126
20,0.13216945457903684,0.04211185941788314
21,0.2016814934101261,0.02216091763333506
22,0.13726174264823982,0.04550855114020134
23,0.15956382634800703,0.04892910221412118
24,0.14503749544803865,0.05380818847749781
25,0.1507053994374895,0.061868448481739814
26,0.21769282936207937,0.05454537123538709
27,0.13644053011489776,0.044949070759792126
28,0.15622538932119143,0.08661843550340992
29,0.17210002181964226,0.08644823408533686
30,0.1499704105474306,0.0827710776725385
31,0.20435746022327217,0.05913284142527693
32,0.17426391378700956,0.07181418163116748
33,0.17282389512945864,0.06510277622897906
34,0.17276256627839323,0.1082001978421532
35,0.1730748198977558,0.06844591475702247
36,0.1838658682029461,0.08160723368465286
37,0.13553237295500598,0.08818017707282255
38,0.1555464946864767,0.05010547280236257
39,0.17554372252055966,0.08499873809546044
40,0.1520631089828944,0.12013479834150154
41,0.19392901470407292,0.049547245194182986
42,0.15568569194768248,0.093133312886685
43,0.14434943785876064,0.09715896188655668
44,0.1601186048884756,0.08076675401527227
45,0.14992880127482794,0.09463524238977004
46,0.21465644656372856,0.0511068408003749
47,0.1460198119693814,0.06563714013310873
48,0.14955962610741264,0.0813690393498339
49,0.1550198290964454,0.06786447332062955
50,0.15513779197690863,0.043448419334278066
51,0.16857082605067158,0.06801323713073296
52,0.15828557445205954,0.09405674260970524
53,0.14513656158424326,0.10793150259781888
54,0.15650670389394933,0.06439376096386695
55,0.15286397474000038,0.06041527567882781
56,0.2067769551814931,0.05484986701707211
57,0.16868719267121277,0.07055204787401534
58,0.1648837623239909,0.06054894822208505
59,0.15465530629298885,0.07410892387706554
60,0.1716982703953926,0.06298070650001664
61,0.2248030972514436,0.0671871495887033
62,0.19212003922563725,0.08444843344558549
63,0.15949383665858,0.07734341473367654
64,0.1632867036244755,0.060159457264565695
65,0.1697178322685851,0.04452021481047694
66,0.19864941848520956,0.055575066745090725
67,0.16231301069506548,0.07594075567425672
68,0.16652835795756554,0.07029915862242181
69,0.15795367769896984,0.07458816197882506
70,0.17282185696715885,0.04478815378206491
71,0.19326981980494956,0.05795960593591602
72,0.15769782479874792,0.0625716069223472
73,0.17464305807617267,0.058220451164612504
74,0.13981364077237135,0.0711582026231458
75,0.17843932730679374,0.06762835102482415
76,0.18930371284385772,0.023557176941491353
77,0.20444222687738883,0.07866695892727493
78,0.1579954579884644,0.05095633841766459
79,0.18085258406362187,0.05514547431050754
80,0.1696937722256655,0.06102452486756358
81,0.19690038056941156,0.03862365008466267
82,0.194275038001904,0.05292639503753975
83,0.19123129599069624,0.05940016149253889
84,0.18151989566144444,0.06646837832394929
85,0.1968349414354746,0.06711471946776632
86,0.19343188094372823,0.04387480828085071
87,0.18780011380764805,0.05987368404039743
88,0.1794296221797286,0.04299601016428127
89,0.1805626587628393,0.058793233713367955
90,0.1973488888025814,0.06970248738762166
91,0.2146363202261888,0.0767912043939716
92,0.16122776153950205,0.07794154661851714
93,0.1885645562827059,0.06780000621656654
94,0.20744443474843777,0.05611332975592968
95,,0.066129746344428
96,,0.06137094076594635
97,,0.05459557900446128
98,,0.052835894108418296
99,,0.05192480452897144
100,,0.07692730561814787
101,,0.07791867155593177
102,,0.07929933402392635
103,,0.07038127362227442
104,,0.0570704605775821
105,,0.0739314942720739
106,,0.05118583503644913
107,,0.05938734001832753
108,,0.05002952713148261
109,,0.07343639147002251
110,,0.07894717232865375
111,,0.01811718522947268
112,,0.05724025572042018
113,,0.06372536451367307
114,,0.086722859324982
115,,0.06698344716714928
116,,0.08298156056269874
117,,0.06345598766830862
118,,0.0477980029223545
119,,0.06982343464247424
120,,0.06280525252839739
121,,0.04828321054987285
122,,0.056183101842225365
123,,0.05706044384960478
124,,0.07686664180750374
125,,0.056281589617719875
126,,0.03805808803335953
127,,0.05903942271987417
128,,0.06800523919752634
129,,0.0756411666450731
130,,0.09250068375010806
131,,0.07290128277563254
132,,0.07365447607922501
133,,0.07554867294666544
134,,0.05889683410253687
135,,0.06493670678438238
136,,0.05609163015038959
137,,0.06531761439570498
138,,0.06972428458600342
139,,0.03346016935981988
