step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/r_hat_raw_step
1,0.034167574073842265,-0.033099549469383205
2,0.06114073366686383,0.02943272402544529
3,0.015940432449504428,0.025010056936634592
4,0.02317612155207943,-0.04576705577784556
5,0.005209291946436525,0.0454411006154495
6,-0.0005606761868754672,0.04453446418688326
7,0.034816079905956546,0.01520709986817808
8,0.019315611438414367,0.04238584231228308
9,-0.00807571499009522,0.005831243076753008
10,0.01946206365989432,-0.012096788672768938
11,0.027573220142686095,0.07119937828846364
12,0.015927547087904035,0.038898427435519
13,-0.015781072530389104,-0.007451607262641718
14,0.06340233131234797,0.04335664200284631
15,0.025907283511341965,-0.003317185856788177
16,-0.052653926584201635,0.0019698725769171674
17,0.06774215133530076,0.013715531836901268
18,0.004484610207941199,-0.021912256010967347
19,0.06804535458927644,-0.00973210495923058
20,0.03756634555617864,-0.032479519697746526
21,-0.0001391312784364673,0.05610230990867449
22,0.07356977179323501,-0.007343174601902658
23,0.033214379219257364,0.007377843205033604
24,0.03544593045667658,0.020219389442777527
25,0.023066116983171545,-0.017614852572683585
26,0.03719694893323683,0.025952179336064436
27,-0.013422157335687702,0.028307286332890667
28,0.1196831176571535,-0.01362843596090356
29,0.03796964789320525,0.002684287478166081
30,0.02457827322316719,0.025216557949902033
31,-0.034024081269127975,0.0409202450786359
32,0.05555613142464622,-0.04668652450551962
33,0.024043349071489587,0.006151476151258314
34,0.06287959803990277,0.044463836850966505
35,0.033590466839324,0.0232586595806756
36,0.005802243992711245,0.013962042594669733
37,0.005380905951464581,0.005179679080904934
38,-0.031460217308024306,-0.04869781667735251
39,0.020836706822840244,0.028167862447129783
40,0.007912114071906822,-0.0021539582503964623
41,0.021700817040213132,-0.005742472143459752
42,0.07063378080527768,0.01047048623441535
43,0.018768498286922397,0.03585862439407573
44,-0.04023463363500696,-0.006020906031628343
45,0.03158484333704695,0.02287473328174835
46,0.008887838977912076,0.017370224373388116
47,0.06502532510342973,-0.02776204228830667
48,0.05444642910781257,-0.002780954205749159
49,0.008845467794898178,0.0011053080141546236
50,-0.02251434692423442,-0.040985073938017653
51,-0.016089632618790345,0.031163190616015125
52,-0.02418880979289631,-0.00675670336160554
53,0.003807243564983887,0.03570835955834224
54,0.019961677192861304,-0.0005067379475773787
55,-0.002360189034579826,0.017785867616142273
56,0.01708453519494227,-0.07383381478148393
57,-0.022909221756500703,0.005194455970239332
58,-0.0063398391377157744,0.026087339775132536
59,-0.01728145358523865,0.02037457738690895
60,0.0478138282732384,0.0006471574189016638
61,0.0103122970388992,0.04340316520818615
62,0.012697202821487796,-0.015999310869773468
63,-0.0283651908703138,0.041565933489517266
64,0.011563407620422576,0.004640734410578275
65,-0.004472344778476113,0.012504229558613326
66,0.012772178740359763,-0.041542980368202
67,0.028063521107236703,0.006509528607020188
68,0.03748982451977543,-0.008484021316252569
69,0.042691011539304435,-0.041588225815992745
70,0.027679790396351264,0.0704993082718255
71,0.02713671943379302,0.020122472509360258
72,-0.042989883516380833,-0.013309698470138688
73,0.01762110536789513,0.019700436117422292
74,0.014029657177785903,-0.027337210025633548
75,0.05601129549317384,-0.016335794125947326
76,-0.007996850748836663,-0.016896411650386405
77,0.013793061570133694,0.05760361920954061
78,0.011107568636553634,0.031047536104727283
79,0.04266395306796086,-0.014188150518308228
80,0.05937363987685499,-0.04176638897912291
81,0.006939777235623272,0.025635616301688337
82,0.0008156664119197129,0.01632416763672171
83,-0.005306824357272858,-0.02351884836625607
84,0.07351841556637799,0.01698319826463327
85,-0.015715073031630677,0.006555203342934242
86,0.033147508415526904,0.03873071461781607
87,0.04411886798388716,0.04829401356165035
88,0.04373565686827585,-0.005544965876803823
89,0.08193609500878041,-0.06255312510207445
90,0.005432661618344567,-0.023499948282874827
91,0.007215682581865514,-0.010396155772886623
92,0.020734354982192935,0.006430273119330431
93,,0.0025929715589947068
94,,-0.03501038894216792
95,,0.03892571468342755
96,,0.0023105438873286025
97,,-0.0017748818530924431
98,,0.03304043773940101
99,,0.039999506446253455
100,,0.008441152691709601
101,,0.025411717720995583
102,,-0.017002199117539075
103,,-0.017869355618072798
104,,-0.02485871556108728
105,,0.028126391580147785
106,,0.008807573910100114
107,,-0.000774434586333813
108,,0.008735369415449055
109,,0.013030476023012364
110,,0.014975341657703627
111,,0.03784409227008888
112,,0.021681419162002193
113,,-0.018659400915580052
114,,0.012607248219288924
115,,0.0206388997255881
116,,0.030460092751618296
117,,-0.006224342043042608
118,,0.03557236355189251
119,,-0.016600930012172273
120,,0.047249572484779026
121,,0.001564788089081794
122,,-0.012444032311122025
123,,0.03402683131494771
124,,0.032825495286394786
125,,-0.01867891077249656
126,,0.05666064223342141
127,,0.05120449436190596
128,,0.0031706512386827095
129,,-0.060812422724921544
130,,-0.04979007192837507
131,,-0.02712047159767455
132,,0.021240910879763108
133,,0.014746928432507049
134,,0.0060107037290877815
135,,-0.006121483697237423
136,,0.02879678808707504
